Match Names,Canonical Names,,
Amy,Little Dorrit,,
Amy Dorrit,Little Dorrit,,
Art,Mr Arthur Clennam,,
Arthur,Mr Arthur Clennam,,
Arthur Clennam,Mr Arthur Clennam,,
Arthur Clennam’s,Mr Arthur Clennam,,
Arthur’s,Mr Arthur Clennam,,
Augustus Stiltstalking,Augustus Stiltstalking,,
Aunt,Mr F's Aunt,,
Baptist,John Baptist Cavalletto,,
Bar,Bar,,
Barnacle,Mr Tite Barnacle,,
Barnacle Junior,Barnacle Junior,,
Barnacles,?,,
Bar's,Bar,,
Beau Flintwinch,Beau Flintwinch,,
Bill,William Dorrit,,
Bishop,Bishop,,
Bishop's,Bishop,,
Blandois,Rigaud,,
Bob,Bob Turnkey,,
Captain Martin,Captain Martin,,
Captain Martin's,Captain Martin,,
Casby,?,,
Cavalletto,John Baptist Cavalletto,,
Cavallooro,John Baptist Cavalletto,,
Christopher,Christopher Casby,,
Christopher Casby,Christopher Casby,,
Clarence Barnacle,Clarence Barnacle,,
Clennam,?,,
Dan,Daniel Doyce,,
Daniel,Daniel Doyce,,
Daniel Doyce,Daniel Doyce,,
Daniel Doyce’s,Daniel Doyce,,
Darrit,William Dorrit,,
Decimus,Lord Decimus Barnacle,,
Dorrit,?,,
Doyce,Daniel Doyce,,
Dr Buchan,Dr Buchan,,
Dr Johnson,Dr Johnson,,
Edgardo Dorrit,Edgardo Dorrit,,
Edmund,Edmund Sparkler,,
Edmund Sparkler,Edmund Sparkler,,
Edward,Tip Dorrit,,
Edward Dorrit,Tip Dorrit,,
Ephraim,Ephraim Flintwinch,,
F.,Mr F's Aunt,,
F.’s Aunt,Mr F's Aunt,,
Fanny,Fanny Dorrit,,
Fanny Dorrit,Fanny Dorrit,,
Finching,Flora Casby,,
Flestrin,Mr Sparkler,,
Flintwinch,Jeremiah Flintwinch,,
Flora,Flora Casby,,
Flora Casby,Flora Casby,,
Frederick,Frederick Dorrit,,
Frederick Dorrit,Frederick Dorrit,,
Frederick Dorrit’s,Frederick Dorrit,,
Gilbert,Mr Gilbert Clennam,,
Gilbert Clennam,Mr Gilbert Clennam,,
Giovanni Baptista Cavalletto,John Baptist Cavalletto,,
Harriet,Tattycoram,,
Harriet Beadle,Tattycoram,,
Harry Barnacle,Harry Barnacle,,
Henry,Henry Gowan,,
Henry Gowan,Henry Gowan,,
Jeremiah,Jeremiah Flintwinch,,
Jeremiah Flintwinch,Jeremiah Flintwinch,,
John,?,,
John Baptist,John Baptist Cavalletto,,
John Baptist Cavalletto,John Baptist Cavalletto,,
John Barnacle,John Barnacle,,
John Barnacle’s,John Barnacle,,
John Chivery,John Chivery,,
John Edward,John Edward Nandy,,
John Edward Nandy,John Edward Nandy,,
Johnson,Dr Johnson,,
Lagnier,Rigaud,,
Little Dorrit,Little Dorrit,,
Little Dorrit’s,Little Dorrit,,
Little Mother,Little Dorrit,,
M. Blandois,Rigaud,,
Maggy,Maggy,,
Mama Meagles,Mrs Meagles,,
Martin,Captain Martin,,
Meagles,?,,
Merdles,?,,
Minnie,Miss Minnie Meagles,,
Miss,?,,
Miss Biffin,Miss Biffin,,
Miss Dorrit,Little Dorrit,,
Miss Fanny,Fanny Dorrit,,
Miss Meagles,Miss Minnie Meagles,,
Miss Minnie,Miss Minnie Meagles,,
Miss Rugg,Miss Rugg,,
Miss Wade,Miss Wade,,
Monseigneur,William Dorrit,,
Monsieur,?,,
Monsieur Blandois,Rigaud,,
Monsieur Flintwinch,Mr Jeremiah Flintwinch,,
Monsieur Lagnier,Rigaud,,
Monsieur Rigaud,Rigaud,,
Mother,?,,
Mother Meagles,Ms Meagles ,,
Mr Arthur,Arthur Clennam,,
Mr Barnacle,Mr Tite Barnacle,,
Mr Blandois,Rigaud,,
Mr Casby,Mr Christopher Casby,,
Mr Chivery,Mr Chivery,,
Mr Dorrit,William Dorrit,,
Mr F.,Mr F's Aunt,,
Mr F.’s,Mr F's Aunt,,
Mr F.’s Aunt,Mr F's Aunt,,
Mr F.’s Aunt’s,Mr F's Aunt,,
Mr Meagles,Mr Meagles,,
Mr Merdle,Mr Merdle,,
Mr Rigaud,Rigaud,,
Mr Rugg,Mr Rugg,,
Mr Sparkler,Mr Sparkler,,
Mr Tinkler,Mr Tinkler,,
Mr Tip,Mr Tip Dorrit,,
Mr Wobbler,Mr Wobbler,,
Mrs,?,,
Mrs Affery,Mrs Affery,,
Mrs Affery Flintwinch,Mrs Affery,,
Mrs Affery’s,Mrs Affery,,
Mrs Bangham,Mrs Bangham,,
Mrs Bishop,Mrs Bishop,,
Mrs Captain Barbary,Mrs Captain Barbary,,
Mrs Chivery,Mrs Chivery,,
Mrs Chivery’s,Mrs Chivery,,
Mrs Clennam,Mrs Clennam,,
Mrs Clennam’s,Mrs Clennam,,
Mrs Finching,Flora Casby,,
Mrs Finching’s,Flora Casby,,
Mrs Flintwinch,Mrs Affery,,
Mrs Flintwinch’s,Mrs Affery,,
Mrs General,Mrs General,,
Mrs General’s,Mrs General,,
Mrs Gowan,Miss Minnie Meagles,,
Mrs Gowan’s,Miss Minnie Meagles,,
Mrs Henry Gowan,Miss Minnie Meagles,,
Mrs Meagles,Mrs Meagles,,
Mrs Meagles’s,Mrs Meagles,,
Mrs Merdle,Mrs Merdle,,
Mrs Merdle’s,Mrs Merdle,,
Mrs Plornish,Mrs Plornish,,
Mrs Plornish’s,Mrs Plornish,,
Mrs Sparkler,Mrs Sparkler,,
Mrs Sparkler’s,Mrs Sparkler,,
Mrs Tickit,Mrs Tickit,,
Mrs Tickit’s,Mrs Tickit,,
Mrs Tite Barnacle,Mrs Tite Barnacle,,
Nandy,Old Nandy,,
Panco,Signor Panco,,
Papa,Mr Meagles,,
Papa Meagles,Mr Meagles,,
Pet’s,Miss Minnie Meagles,,
Plasterer,Mr Plornish,,
Plornish,Mr Plornish,,
Rigaud,Rigaud,,
Rigaud Blandois,Rigaud,,
Rigaud Lagnier Blandois,Rigaud,,
Ruggs,Mr Rugg,,
Signor Cavalletto,John Baptist Cavalletto,,
Signor John Baptist,John Baptist Cavalletto,,
Signor Panco,Signor Panco,,
Sparkler,?,,
Tatty,Tattycoram,,
Tattycoram,Tattycoram,,
The Patriarch,Christopher Casby,,
Thomas,Thomas,,
Tinkler,Mr Tinkler,,
Tip,Tip Dorrit,,
Tite Barnacle,Mr Tite Barnacle,,
Tite Barnacles,Mr Tite Barnacle,,
Tite Barnacle's,Mr Tite Barnacle,,
Tudor Stiltstalking,Tudor Stiltstalking,,
Uncle,Frederick Dorrit,,
Uncle Dorrit,Frederick Dorrit,,
Uncle George,Uncle George,,
Wade,Miss Wade,,
William,?,,
William Barnacle,William Barnacle,,
William Dorrit,William Dorrit,,
William Dorrit’s,William Dorrit,,
Wobbler,Mr Wobbler,,
Young Barnacle,Ferdinand Barnacle,,
Young Barnacles,Ferdinand Barnacle,,
Young Chivery,Young John Chivery,,
Young John,Young John Chivery,,
Young John’s,Young John Chivery,,
Young Sparkler,Young Edmund Sparkler,,
