Item1,Item2,Time,Book
Lowell,Hartford,13,american-notes
Lowell,Virginia Road,13,american-notes
Lowell,Richmond,13,american-notes
Lowell,Baltimore,13,american-notes
Lowell,Journey,13,american-notes
Lowell,Pittsburg,13,american-notes
Lowell,St. Louis,13,american-notes
Lowell,Prairie,13,american-notes
Lowell,Lake Erie,13,american-notes
Lowell,Niagara,13,american-notes
Lowell,John,13,american-notes
Hartford,Lowell,13,american-notes
Hartford,Virginia Road,13,american-notes
Hartford,Richmond,13,american-notes
Hartford,Baltimore,13,american-notes
Hartford,Journey,13,american-notes
Hartford,Pittsburg,13,american-notes
Hartford,St. Louis,13,american-notes
Hartford,Prairie,13,american-notes
Hartford,Lake Erie,13,american-notes
Hartford,Niagara,13,american-notes
Hartford,John,13,american-notes
Virginia Road,Lowell,13,american-notes
Virginia Road,Hartford,13,american-notes
Virginia Road,Richmond,13,american-notes
Virginia Road,Baltimore,13,american-notes
Virginia Road,Journey,13,american-notes
Virginia Road,Pittsburg,13,american-notes
Virginia Road,St. Louis,13,american-notes
Virginia Road,Prairie,13,american-notes
Virginia Road,Lake Erie,13,american-notes
Virginia Road,Niagara,13,american-notes
Virginia Road,John,13,american-notes
Richmond,Lowell,13,american-notes
Richmond,Hartford,13,american-notes
Richmond,Virginia Road,13,american-notes
Richmond,Baltimore,13,american-notes
Richmond,Journey,13,american-notes
Richmond,Pittsburg,13,american-notes
Richmond,St. Louis,13,american-notes
Richmond,Prairie,13,american-notes
Richmond,Lake Erie,13,american-notes
Richmond,Niagara,13,american-notes
Richmond,John,13,american-notes
Baltimore,Lowell,13,american-notes
Baltimore,Hartford,13,american-notes
Baltimore,Virginia Road,13,american-notes
Baltimore,Richmond,13,american-notes
Baltimore,Journey,13,american-notes
Baltimore,Pittsburg,13,american-notes
Baltimore,St. Louis,13,american-notes
Baltimore,Prairie,13,american-notes
Baltimore,Lake Erie,13,american-notes
Baltimore,Niagara,13,american-notes
Baltimore,John,13,american-notes
Journey,Lowell,13,american-notes
Journey,Hartford,13,american-notes
Journey,Virginia Road,13,american-notes
Journey,Richmond,13,american-notes
Journey,Baltimore,13,american-notes
Journey,Pittsburg,13,american-notes
Journey,St. Louis,13,american-notes
Journey,Prairie,13,american-notes
Journey,Lake Erie,13,american-notes
Journey,Niagara,13,american-notes
Journey,John,13,american-notes
Pittsburg,Lowell,13,american-notes
Pittsburg,Hartford,13,american-notes
Pittsburg,Virginia Road,13,american-notes
Pittsburg,Richmond,13,american-notes
Pittsburg,Baltimore,13,american-notes
Pittsburg,Journey,13,american-notes
Pittsburg,St. Louis,13,american-notes
Pittsburg,Prairie,13,american-notes
Pittsburg,Lake Erie,13,american-notes
Pittsburg,Niagara,13,american-notes
Pittsburg,John,13,american-notes
St. Louis,Lowell,13,american-notes
St. Louis,Hartford,13,american-notes
St. Louis,Virginia Road,13,american-notes
St. Louis,Richmond,13,american-notes
St. Louis,Baltimore,13,american-notes
St. Louis,Journey,13,american-notes
St. Louis,Pittsburg,13,american-notes
St. Louis,Prairie,13,american-notes
St. Louis,Lake Erie,13,american-notes
St. Louis,Niagara,13,american-notes
St. Louis,John,13,american-notes
Prairie,Lowell,13,american-notes
Prairie,Hartford,13,american-notes
Prairie,Virginia Road,13,american-notes
Prairie,Richmond,13,american-notes
Prairie,Baltimore,13,american-notes
Prairie,Journey,13,american-notes
Prairie,Pittsburg,13,american-notes
Prairie,St. Louis,13,american-notes
Prairie,Lake Erie,13,american-notes
Prairie,Niagara,13,american-notes
Prairie,John,13,american-notes
Lake Erie,Lowell,13,american-notes
Lake Erie,Hartford,13,american-notes
Lake Erie,Virginia Road,13,american-notes
Lake Erie,Richmond,13,american-notes
Lake Erie,Baltimore,13,american-notes
Lake Erie,Journey,13,american-notes
Lake Erie,Pittsburg,13,american-notes
Lake Erie,St. Louis,13,american-notes
Lake Erie,Prairie,13,american-notes
Lake Erie,Niagara,13,american-notes
Lake Erie,John,13,american-notes
Niagara,Lowell,13,american-notes
Niagara,Hartford,13,american-notes
Niagara,Virginia Road,13,american-notes
Niagara,Richmond,13,american-notes
Niagara,Baltimore,13,american-notes
Niagara,Journey,13,american-notes
Niagara,Pittsburg,13,american-notes
Niagara,St. Louis,13,american-notes
Niagara,Prairie,13,american-notes
Niagara,Lake Erie,13,american-notes
Niagara,John,13,american-notes
John,Lowell,13,american-notes
John,Hartford,13,american-notes
John,Virginia Road,13,american-notes
John,Richmond,13,american-notes
John,Baltimore,13,american-notes
John,Journey,13,american-notes
John,Pittsburg,13,american-notes
John,St. Louis,13,american-notes
John,Prairie,13,american-notes
John,Lake Erie,13,american-notes
John,Niagara,13,american-notes
Charles Dickens,Esquire,19,american-notes
Charles Dickens,Lady,19,american-notes
Charles Dickens,Esquire,19,american-notes
Charles Dickens,Lady,19,american-notes
Charles Dickens,Esquire,19,american-notes
Esquire,Charles Dickens,19,american-notes
Esquire,Lady,19,american-notes
Esquire,Charles Dickens,19,american-notes
Esquire,Lady,19,american-notes
Esquire,Charles Dickens,19,american-notes
Lady,Charles Dickens,19,american-notes
Lady,Esquire,19,american-notes
Lady,Charles Dickens,19,american-notes
Lady,Esquire,19,american-notes
Lady,Charles Dickens,19,american-notes
Lady,Esquire,19,american-notes
Charles Dickens,Esquire,19,american-notes
Charles Dickens,Lady,19,american-notes
Charles Dickens,Esquire,19,american-notes
Charles Dickens,Lady,19,american-notes
Charles Dickens,Esquire,19,american-notes
Esquire,Charles Dickens,19,american-notes
Esquire,Lady,19,american-notes
Esquire,Charles Dickens,19,american-notes
Esquire,Lady,19,american-notes
Esquire,Charles Dickens,19,american-notes
Lady,Charles Dickens,19,american-notes
Lady,Esquire,19,american-notes
Lady,Charles Dickens,19,american-notes
Lady,Esquire,19,american-notes
Lady,Charles Dickens,19,american-notes
Lady,Esquire,19,american-notes
Charles Dickens,Esquire,19,american-notes
Charles Dickens,Lady,19,american-notes
Charles Dickens,Esquire,19,american-notes
Charles Dickens,Lady,19,american-notes
Charles Dickens,Esquire,19,american-notes
Esquire,Charles Dickens,19,american-notes
Esquire,Lady,19,american-notes
Esquire,Charles Dickens,19,american-notes
Esquire,Lady,19,american-notes
Esquire,Charles Dickens,19,american-notes
Hock,Champagne,26,american-notes
Hock,Mr. Radley,26,american-notes
Champagne,Hock,26,american-notes
Champagne,Mr. Radley,26,american-notes
Mr. Radley,Hock,26,american-notes
Mr. Radley,Champagne,26,american-notes
Steward,Sir,41,american-notes
Sir,Steward,41,american-notes
Mr. Willet,Neptune,44,american-notes
Neptune,Mr. Willet,44,american-notes
Fourthly,Robinson Crusoe,51,american-notes
Robinson Crusoe,Fourthly,51,american-notes
Mr. Hart,Laura Bridgman,154,american-notes
Mr. Hart,Laura Bridgman,154,american-notes
Laura Bridgman,Mr. Hart,154,american-notes
Laura Bridgman,Mr. Hart,154,american-notes
Laura,Oliver Caswell,155,american-notes
Oliver Caswell,Laura,155,american-notes
Laura,Oliver,160,american-notes
Laura,Oliver,160,american-notes
Oliver,Laura,160,american-notes
Oliver,Laura,160,american-notes
Oliver,Laura,160,american-notes
Laura,Oliver,160,american-notes
Laura,Oliver,163,american-notes
Oliver,Laura,163,american-notes
Oliver,Laura,163,american-notes
Oliver,Laura,163,american-notes
Laura,Oliver,163,american-notes
Laura,Oliver,163,american-notes
Ma,Mr. Dickens,174,american-notes
Mr. Dickens,Ma,174,american-notes
George,Prison Discipline,192,american-notes
Prison Discipline,George,192,american-notes
Mr. Carlyle,Mr. Ralph Waldo Emerson,208,american-notes
Mr. Carlyle,Transcendentalism,208,american-notes
Mr. Ralph Waldo Emerson,Mr. Carlyle,208,american-notes
Mr. Ralph Waldo Emerson,Transcendentalism,208,american-notes
Transcendentalism,Mr. Carlyle,208,american-notes
Transcendentalism,Mr. Ralph Waldo Emerson,208,american-notes
Lord Nelson,John Bunyan,210,american-notes
John Bunyan,Lord Nelson,210,american-notes
Aloft,Death,211,american-notes
Aloft,Pilot,211,american-notes
Death,Aloft,211,american-notes
Death,Pilot,211,american-notes
Pilot,Aloft,211,american-notes
Pilot,Death,211,american-notes
Mint Julep,Timber Doodle,216,american-notes
Timber Doodle,Mint Julep,216,american-notes
Charles,Dumb,255,american-notes
Dumb,Charles,255,american-notes
Hell Gate,Back,305,american-notes
Hell Gate,Diedrich Knickerbocker,305,american-notes
Hell Gate,Nature,305,american-notes
Back,Hell Gate,305,american-notes
Back,Diedrich Knickerbocker,305,american-notes
Back,Nature,305,american-notes
Diedrich Knickerbocker,Hell Gate,305,american-notes
Diedrich Knickerbocker,Back,305,american-notes
Diedrich Knickerbocker,Nature,305,american-notes
Nature,Hell Gate,305,american-notes
Nature,Back,305,american-notes
Nature,Diedrich Knickerbocker,305,american-notes
Seven Dials,Giles,309,american-notes
Giles,Seven Dials,309,american-notes
Broadway,Street,315,american-notes
Street,Broadway,315,american-notes
Hark,Devil,369,american-notes
Devil,Hark,369,american-notes
Queen Victoria,William,373,american-notes
Queen Victoria,Will Watch,373,american-notes
Queen Victoria,Paul Jones,373,american-notes
William,Queen Victoria,373,american-notes
William,Will Watch,373,american-notes
William,Paul Jones,373,american-notes
William,Queen Victoria,373,american-notes
Will Watch,Queen Victoria,373,american-notes
Will Watch,William,373,american-notes
Will Watch,Paul Jones,373,american-notes
Will Watch,Queen Victoria,373,american-notes
Paul Jones,Queen Victoria,373,american-notes
Paul Jones,William,373,american-notes
Paul Jones,Will Watch,373,american-notes
Paul Jones,Queen Victoria,373,american-notes
Queen Victoria,William,373,american-notes
Queen Victoria,Will Watch,373,american-notes
Queen Victoria,Paul Jones,373,american-notes
Mr. Mitchell,Niblo,401,american-notes
Niblo,Mr. Mitchell,401,american-notes
Public Life,Place,498,american-notes
Public Life,Power,498,american-notes
Place,Public Life,498,american-notes
Place,Power,498,american-notes
Power,Public Life,498,american-notes
Power,Place,498,american-notes
Jiddy,Pill,553,american-notes
Jiddy,Pill,553,american-notes
Pill,Jiddy,553,american-notes
Pill,Jiddy,553,american-notes
Ally Loo,Jiddy,555,american-notes
Ally Loo,Jiddy,555,american-notes
Ally Loo,Pill,555,american-notes
Jiddy,Ally Loo,555,american-notes
Jiddy,Pill,555,american-notes
Jiddy,Ally Loo,555,american-notes
Jiddy,Ally Loo,555,american-notes
Jiddy,Pill,555,american-notes
Jiddy,Ally Loo,555,american-notes
Pill,Ally Loo,555,american-notes
Pill,Jiddy,555,american-notes
Pill,Jiddy,555,american-notes
Pill,Ally Loo,555,american-notes
Ally Loo,Jiddy,555,american-notes
Ally Loo,Jiddy,555,american-notes
Ally Loo,Pill,555,american-notes
Lee,Jiddy,557,american-notes
Lee,Jiddy,557,american-notes
Lee,Pill,557,american-notes
Lee,Ally Loo,557,american-notes
Lee,Jiddy,557,american-notes
Lee,Jiddy,557,american-notes
Lee,Pill,557,american-notes
Lee,Ally Loo,557,american-notes
Jiddy,Lee,557,american-notes
Jiddy,Lee,557,american-notes
Jiddy,Pill,557,american-notes
Jiddy,Ally Loo,557,american-notes
Jiddy,Lee,557,american-notes
Jiddy,Lee,557,american-notes
Jiddy,Pill,557,american-notes
Jiddy,Ally Loo,557,american-notes
Pill,Lee,557,american-notes
Pill,Lee,557,american-notes
Pill,Jiddy,557,american-notes
Pill,Jiddy,557,american-notes
Pill,Ally Loo,557,american-notes
Ally Loo,Lee,557,american-notes
Ally Loo,Lee,557,american-notes
Ally Loo,Jiddy,557,american-notes
Ally Loo,Jiddy,557,american-notes
Ally Loo,Pill,557,american-notes
Easy,Ease,562,american-notes
Easy,Steady,562,american-notes
Easy,Jiddy,562,american-notes
Easy,Pill,562,american-notes
Easy,Ally,562,american-notes
Easy,Loo,562,american-notes
Easy,Ease,562,american-notes
Easy,Steady,562,american-notes
Easy,Jiddy,562,american-notes
Easy,Pill,562,american-notes
Easy,Ally,562,american-notes
Easy,Loo,562,american-notes
Ease,Easy,562,american-notes
Ease,Easy,562,american-notes
Ease,Steady,562,american-notes
Ease,Jiddy,562,american-notes
Ease,Pill,562,american-notes
Ease,Ally,562,american-notes
Ease,Loo,562,american-notes
Steady,Easy,562,american-notes
Steady,Easy,562,american-notes
Steady,Ease,562,american-notes
Steady,Jiddy,562,american-notes
Steady,Pill,562,american-notes
Steady,Ally,562,american-notes
Steady,Loo,562,american-notes
Jiddy,Easy,562,american-notes
Jiddy,Easy,562,american-notes
Jiddy,Ease,562,american-notes
Jiddy,Steady,562,american-notes
Jiddy,Pill,562,american-notes
Jiddy,Ally,562,american-notes
Jiddy,Loo,562,american-notes
Pill,Easy,562,american-notes
Pill,Easy,562,american-notes
Pill,Ease,562,american-notes
Pill,Steady,562,american-notes
Pill,Jiddy,562,american-notes
Pill,Ally,562,american-notes
Pill,Loo,562,american-notes
Ally,Easy,562,american-notes
Ally,Easy,562,american-notes
Ally,Ease,562,american-notes
Ally,Steady,562,american-notes
Ally,Jiddy,562,american-notes
Ally,Pill,562,american-notes
Ally,Loo,562,american-notes
Loo,Easy,562,american-notes
Loo,Easy,562,american-notes
Loo,Ease,562,american-notes
Loo,Steady,562,american-notes
Loo,Jiddy,562,american-notes
Loo,Pill,562,american-notes
Loo,Ally,562,american-notes
James River,Bloody Run,569,american-notes
Bloody Run,James River,569,american-notes
James River,Chesapeake Bay,579,american-notes
Chesapeake Bay,James River,579,american-notes
Crabbe,Little Hatchet,609,american-notes
Little Hatchet,Crabbe,609,american-notes
Down Easters,_I_,635,american-notes
Down Easters,_I_,635,american-notes
Down Easters,Johnny Cake,635,american-notes
Down Easters,Rather,635,american-notes
Down Easters,_I_,635,american-notes
_I_,Down Easters,635,american-notes
_I_,Johnny Cake,635,american-notes
_I_,Rather,635,american-notes
_I_,Down Easters,635,american-notes
_I_,Down Easters,635,american-notes
_I_,Johnny Cake,635,american-notes
_I_,Rather,635,american-notes
_I_,Down Easters,635,american-notes
Johnny Cake,Down Easters,635,american-notes
Johnny Cake,_I_,635,american-notes
Johnny Cake,_I_,635,american-notes
Johnny Cake,Rather,635,american-notes
Johnny Cake,Down Easters,635,american-notes
Johnny Cake,_I_,635,american-notes
Rather,Down Easters,635,american-notes
Rather,_I_,635,american-notes
Rather,_I_,635,american-notes
Rather,Johnny Cake,635,american-notes
Rather,Down Easters,635,american-notes
Rather,_I_,635,american-notes
Down Easters,_I_,635,american-notes
Down Easters,_I_,635,american-notes
Down Easters,Johnny Cake,635,american-notes
Down Easters,Rather,635,american-notes
Down Easters,_I_,635,american-notes
_I_,Down Easters,635,american-notes
_I_,Johnny Cake,635,american-notes
_I_,Rather,635,american-notes
_I_,Down Easters,635,american-notes
Johnny Cakes,Johnny Cake,637,american-notes
Johnny Cakes,Johnny Cake,637,american-notes
Johnny Cake,Johnny Cakes,637,american-notes
Johnny Cake,Johnny Cakes,637,american-notes
Cincinnati,Messenger,645,american-notes
Messenger,Cincinnati,645,american-notes
Alcohol,Temperance,670,american-notes
Temperance,Alcohol,670,american-notes
English,Scott,679,american-notes
Scott,English,679,american-notes
Mr. Catlin,Mr. Cooper,683,american-notes
Mr. Cooper,Mr. Catlin,683,american-notes
Kentucky Giant,Porter,693,american-notes
Porter,Kentucky Giant,693,american-notes
Healthy,Le Sage,699,american-notes
Le Sage,Healthy,699,american-notes
Louisville,St. Louis,707,american-notes
St. Louis,Louisville,707,american-notes
Don,Doctor Crocus,740,american-notes
Doctor Crocus,Don,740,american-notes
Whereupon,Doctor Crocus,745,american-notes
Whereupon,Doctor Crocus,745,american-notes
Doctor Crocus,Whereupon,745,american-notes
Doctor Crocus,Whereupon,745,american-notes
Doctor Crocus,Crocus,754,american-notes
Crocus,Doctor Crocus,754,american-notes
Crocus,Doctor Crocus,754,american-notes
Doctor Crocus,Crocus,754,american-notes
Sandusky,Cincinnati,766,american-notes
Cincinnati,Sandusky,766,american-notes
Carondelet,Vide Poche,767,american-notes
Vide Poche,Carondelet,767,american-notes
Summer,Niagara,822,american-notes
Niagara,Summer,822,american-notes
Lake Erie,Buffalo,831,american-notes
Buffalo,Lake Erie,831,american-notes
Great Britain,Mr. Webster,836,american-notes
Great Britain,Hail Columbia,836,american-notes
Mr. Webster,Great Britain,836,american-notes
Mr. Webster,Hail Columbia,836,american-notes
Hail Columbia,Great Britain,836,american-notes
Hail Columbia,Mr. Webster,836,american-notes
Peace,Happiness,842,american-notes
Peace,Niagara,842,american-notes
Happiness,Peace,842,american-notes
Happiness,Niagara,842,american-notes
Niagara,Peace,842,american-notes
Niagara,Happiness,842,american-notes
Kingston,Lake Ontario,866,american-notes
Lake Ontario,Kingston,866,american-notes
Kingston,Montreal,870,american-notes
Montreal,Kingston,870,american-notes
Quebec,Montreal,882,american-notes
Montreal,Quebec,882,american-notes
La Prairie,John,887,american-notes
La Prairie,Lake Champlain,887,american-notes
John,La Prairie,887,american-notes
John,Lake Champlain,887,american-notes
Lake Champlain,La Prairie,887,american-notes
Lake Champlain,John,887,american-notes
Lake Champlain,John,889,american-notes
Lake Champlain,Captain Sherman,889,american-notes
John,Lake Champlain,889,american-notes
John,Captain Sherman,889,american-notes
Captain Sherman,Lake Champlain,889,american-notes
Captain Sherman,John,889,american-notes
Rip Van Winkle,Dutchmen,894,american-notes
Dutchmen,Rip Van Winkle,894,american-notes
Shaker,Being,899,american-notes
Being,Shaker,899,american-notes
Enterprise,Manchester,927,american-notes
Enterprise,Jem,927,american-notes
Enterprise,Jem,927,american-notes
Manchester,Enterprise,927,american-notes
Manchester,Jem,927,american-notes
Manchester,Jem,927,american-notes
Jem,Enterprise,927,american-notes
Jem,Manchester,927,american-notes
Jem,Enterprise,927,american-notes
Jem,Manchester,927,american-notes
God,Heaven,929,american-notes
Heaven,God,929,american-notes
States,Public,946,american-notes
States,Public,946,american-notes
Public,States,946,american-notes
Public,States,946,american-notes
Ran,Negress Caroline,956,american-notes
Ran,Had,956,american-notes
Negress Caroline,Ran,956,american-notes
Negress Caroline,Had,956,american-notes
Had,Ran,956,american-notes
Had,Negress Caroline,956,american-notes
Ran,Manuel,958,american-notes
Manuel,Ran,958,american-notes
Ran,Had,959,american-notes
Had,Ran,959,american-notes
Ran,Lampert,960,american-notes
Lampert,Ran,960,american-notes
Ran,Grise,961,american-notes
Grise,Ran,961,american-notes
Ran,James,962,american-notes
James,Ran,962,american-notes
Ran,Henry,966,american-notes
Henry,Ran,966,american-notes
Ran,Rachel,969,american-notes
Rachel,Ran,969,american-notes
Ran,Sam,970,american-notes
Sam,Ran,970,american-notes
Ran,Dennis,971,american-notes
Dennis,Ran,971,american-notes
Ran,Simon,972,american-notes
Simon,Ran,972,american-notes
Ran,Arthur,973,american-notes
Arthur,Ran,973,american-notes
Ran,Mary,975,american-notes
Mary,Ran,975,american-notes
Ran,Ned,978,american-notes
Ned,Ran,978,american-notes
Ran,Ellie,981,american-notes
Ellie,Ran,981,american-notes
Ran,James Surgette,982,american-notes
Ran,Randal,982,american-notes
Ran,Bob,982,american-notes
Ran,Kentucky Tom,982,american-notes
James Surgette,Ran,982,american-notes
James Surgette,Randal,982,american-notes
James Surgette,Bob,982,american-notes
James Surgette,Kentucky Tom,982,american-notes
Randal,Ran,982,american-notes
Randal,James Surgette,982,american-notes
Randal,Bob,982,american-notes
Randal,Kentucky Tom,982,american-notes
Bob,Ran,982,american-notes
Bob,James Surgette,982,american-notes
Bob,Randal,982,american-notes
Bob,Kentucky Tom,982,american-notes
Kentucky Tom,Ran,982,american-notes
Kentucky Tom,James Surgette,982,american-notes
Kentucky Tom,Randal,982,american-notes
Kentucky Tom,Bob,982,american-notes
Ran,Anthony,983,american-notes
Anthony,Ran,983,american-notes
Ran,Maria,985,american-notes
Maria,Ran,985,american-notes
Brought,John,990,american-notes
John,Brought,990,american-notes
Ran,Mary,992,american-notes
Mary,Ran,992,american-notes
Ran,Judy,993,american-notes
Judy,Ran,993,american-notes
Ran,Levi,994,american-notes
Levi,Ran,994,american-notes
Ran,Has,995,american-notes
Has,Ran,995,american-notes
Sally,Walks,997,american-notes
Walks,Sally,997,american-notes
Ran,Joe Dennis,998,american-notes
Joe Dennis,Ran,998,american-notes
Ran,Jack,999,american-notes
Jack,Ran,999,american-notes
Ran,Ivory,1000,american-notes
Ivory,Ran,1000,american-notes
Wisconsin,Charles C.,1007,american-notes
Wisconsin,James R. Vinyard,1007,american-notes
Wisconsin,Mr. E. S. Baker,1007,american-notes
Wisconsin,Mr. Arndt,1007,american-notes
Wisconsin,Vinyard,1007,american-notes
Wisconsin,Vinyard,1007,american-notes
Wisconsin,Mr. A.,1007,american-notes
Wisconsin,Mr. A.,1007,american-notes
Wisconsin,Vinyard,1007,american-notes
Wisconsin,Mr. Arndt,1007,american-notes
Charles C.,Wisconsin,1007,american-notes
Charles C.,James R. Vinyard,1007,american-notes
Charles C.,Mr. E. S. Baker,1007,american-notes
Charles C.,Mr. Arndt,1007,american-notes
Charles C.,Vinyard,1007,american-notes
Charles C.,Vinyard,1007,american-notes
Charles C.,Mr. A.,1007,american-notes
Charles C.,Mr. A.,1007,american-notes
Charles C.,Vinyard,1007,american-notes
Charles C.,Mr. Arndt,1007,american-notes
James R. Vinyard,Wisconsin,1007,american-notes
James R. Vinyard,Charles C.,1007,american-notes
James R. Vinyard,Mr. E. S. Baker,1007,american-notes
James R. Vinyard,Mr. Arndt,1007,american-notes
James R. Vinyard,Vinyard,1007,american-notes
James R. Vinyard,Vinyard,1007,american-notes
James R. Vinyard,Mr. A.,1007,american-notes
James R. Vinyard,Mr. A.,1007,american-notes
James R. Vinyard,Vinyard,1007,american-notes
James R. Vinyard,Mr. Arndt,1007,american-notes
Mr. E. S. Baker,Wisconsin,1007,american-notes
Mr. E. S. Baker,Charles C.,1007,american-notes
Mr. E. S. Baker,James R. Vinyard,1007,american-notes
Mr. E. S. Baker,Mr. Arndt,1007,american-notes
Mr. E. S. Baker,Vinyard,1007,american-notes
Mr. E. S. Baker,Vinyard,1007,american-notes
Mr. E. S. Baker,Mr. A.,1007,american-notes
Mr. E. S. Baker,Mr. A.,1007,american-notes
Mr. E. S. Baker,Vinyard,1007,american-notes
Mr. E. S. Baker,Mr. Arndt,1007,american-notes
Mr. Arndt,Wisconsin,1007,american-notes
Mr. Arndt,Charles C.,1007,american-notes
Mr. Arndt,James R. Vinyard,1007,american-notes
Mr. Arndt,Mr. E. S. Baker,1007,american-notes
Mr. Arndt,Vinyard,1007,american-notes
Mr. Arndt,Vinyard,1007,american-notes
Mr. Arndt,Mr. A.,1007,american-notes
Mr. Arndt,Mr. A.,1007,american-notes
Mr. Arndt,Vinyard,1007,american-notes
Vinyard,Wisconsin,1007,american-notes
Vinyard,Charles C.,1007,american-notes
Vinyard,James R. Vinyard,1007,american-notes
Vinyard,Mr. E. S. Baker,1007,american-notes
Vinyard,Mr. Arndt,1007,american-notes
Vinyard,Mr. A.,1007,american-notes
Vinyard,Mr. A.,1007,american-notes
Vinyard,Mr. Arndt,1007,american-notes
Vinyard,Wisconsin,1007,american-notes
Vinyard,Charles C.,1007,american-notes
Vinyard,James R. Vinyard,1007,american-notes
Vinyard,Mr. E. S. Baker,1007,american-notes
Vinyard,Mr. Arndt,1007,american-notes
Vinyard,Mr. A.,1007,american-notes
Vinyard,Mr. A.,1007,american-notes
Vinyard,Mr. Arndt,1007,american-notes
Mr. A.,Wisconsin,1007,american-notes
Mr. A.,Charles C.,1007,american-notes
Mr. A.,James R. Vinyard,1007,american-notes
