Item1,Item2,Time,Book
Sir Hugh Evans,Anne Page,2,barnaby-rudge
Anne Page,Sir Hugh Evans,2,barnaby-rudge
Popery,Seventeen Hundred,6,barnaby-rudge
Seventeen Hundred,Popery,6,barnaby-rudge
Mary Jones,Sir Samuel Romilly,10,barnaby-rudge
Sir Samuel Romilly,Mary Jones,10,barnaby-rudge
Epping Forest,Maypoles,15,barnaby-rudge
Maypoles,Epping Forest,15,barnaby-rudge
Willet,John,31,barnaby-rudge
Willet,John,31,barnaby-rudge
John,Willet,31,barnaby-rudge
John,Willet,31,barnaby-rudge
Tom Cobb,Phil Parkes,32,barnaby-rudge
Phil Parkes,Tom Cobb,32,barnaby-rudge
Parkes,Tom,38,barnaby-rudge
Tom,Parkes,38,barnaby-rudge
Haredale,Geoffrey Haredale,47,barnaby-rudge
Geoffrey Haredale,Haredale,47,barnaby-rudge
Joe Willet,Joe,59,barnaby-rudge
Joe,Joe Willet,59,barnaby-rudge
Joe,Willet,60,barnaby-rudge
Joe,John Willet,60,barnaby-rudge
Willet,Joe,60,barnaby-rudge
Willet,John Willet,60,barnaby-rudge
John Willet,Joe,60,barnaby-rudge
John Willet,Willet,60,barnaby-rudge
Joe,Long Parkes,66,barnaby-rudge
Long Parkes,Joe,66,barnaby-rudge
Joe,Parkes,75,barnaby-rudge
Parkes,Joe,75,barnaby-rudge
Phil,Natur,76,barnaby-rudge
Phil,Natur,76,barnaby-rudge
Natur,Phil,76,barnaby-rudge
Natur,Phil,76,barnaby-rudge
John Willet,Natur,79,barnaby-rudge
John Willet,John,79,barnaby-rudge
Natur,John Willet,79,barnaby-rudge
Natur,John,79,barnaby-rudge
John,John Willet,79,barnaby-rudge
John,Natur,79,barnaby-rudge
John Willet,John,80,barnaby-rudge
John,John Willet,80,barnaby-rudge
Miss Haredale,Geoffrey Haredale,88,barnaby-rudge
Geoffrey Haredale,Miss Haredale,88,barnaby-rudge
Parkes,John Willet,93,barnaby-rudge
John Willet,Parkes,93,barnaby-rudge
Reuben Haredale,Geoffrey,100,barnaby-rudge
Geoffrey,Reuben Haredale,100,barnaby-rudge
Reuben Haredale,Geoffrey,106,barnaby-rudge
Reuben Haredale,Joe,106,barnaby-rudge
Reuben Haredale,Joe,106,barnaby-rudge
Geoffrey,Reuben Haredale,106,barnaby-rudge
Geoffrey,Joe,106,barnaby-rudge
Geoffrey,Joe,106,barnaby-rudge
Joe,Reuben Haredale,106,barnaby-rudge
Joe,Geoffrey,106,barnaby-rudge
Joe,Reuben Haredale,106,barnaby-rudge
Joe,Geoffrey,106,barnaby-rudge
Solomon,Joe,113,barnaby-rudge
Solomon,Joe,113,barnaby-rudge
Joe,Solomon,113,barnaby-rudge
Joe,Solomon,113,barnaby-rudge
John Willet,Joe,129,barnaby-rudge
Joe,John Willet,129,barnaby-rudge
John,Willet,134,barnaby-rudge
John,Joe,134,barnaby-rudge
Willet,John,134,barnaby-rudge
Willet,Joe,134,barnaby-rudge
Joe,John,134,barnaby-rudge
Joe,Willet,134,barnaby-rudge
Gabriel,Varden,187,barnaby-rudge
Varden,Gabriel,187,barnaby-rudge
Joe,Gabriel,192,barnaby-rudge
Gabriel,Joe,192,barnaby-rudge
Solomon,Gabriel,198,barnaby-rudge
Gabriel,Solomon,198,barnaby-rudge
John,Willet,209,barnaby-rudge
Willet,John,209,barnaby-rudge
John Willet,Joe,210,barnaby-rudge
John Willet,Joe,210,barnaby-rudge
John Willet,Joe,210,barnaby-rudge
Joe,John Willet,210,barnaby-rudge
Joe,John Willet,210,barnaby-rudge
Joe,John Willet,210,barnaby-rudge
Joe,John Willet,210,barnaby-rudge
John Willet,Joe,210,barnaby-rudge
John Willet,Joe,210,barnaby-rudge
John Willet,Joe,210,barnaby-rudge
Joe,John Willet,210,barnaby-rudge
Joe,John Willet,210,barnaby-rudge
Joe,Gabriel,212,barnaby-rudge
Gabriel,Joe,212,barnaby-rudge
Gabriel,Varden,227,barnaby-rudge
Varden,Gabriel,227,barnaby-rudge
Thoroughly,Gabriel,231,barnaby-rudge
Gabriel,Thoroughly,231,barnaby-rudge
Barnaby,Varden,235,barnaby-rudge
Varden,Barnaby,235,barnaby-rudge
Varden,Barnaby,256,barnaby-rudge
