Item1,Item2,Time,Book
John Baptist Cavalletto,Rigaud,29,little-dorrit
Rigaud,John Baptist Cavalletto,29,little-dorrit
John Baptist Cavalletto,Rigaud,30,little-dorrit
Rigaud,John Baptist Cavalletto,30,little-dorrit
John Baptist Cavalletto,Rigaud,47,little-dorrit
Rigaud,John Baptist Cavalletto,47,little-dorrit
John Baptist Cavalletto,Rigaud,59,little-dorrit
Rigaud,John Baptist Cavalletto,59,little-dorrit
John Baptist Cavalletto,Rigaud,62,little-dorrit
Rigaud,John Baptist Cavalletto,62,little-dorrit
John Baptist Cavalletto,Rigaud,85,little-dorrit
Rigaud,John Baptist Cavalletto,85,little-dorrit
John Baptist Cavalletto,Rigaud,104,little-dorrit
Rigaud,John Baptist Cavalletto,104,little-dorrit
Mr Arthur Clennam,Jeremiah Flintwinch,323,little-dorrit
Jeremiah Flintwinch,Mr Arthur Clennam,323,little-dorrit
Mr Arthur Clennam,Jeremiah Flintwinch,325,little-dorrit
Jeremiah Flintwinch,Mr Arthur Clennam,325,little-dorrit
Mr Arthur Clennam,Jeremiah Flintwinch,345,little-dorrit
Mr Arthur Clennam,Jeremiah Flintwinch,345,little-dorrit
Jeremiah Flintwinch,Mr Arthur Clennam,345,little-dorrit
Jeremiah Flintwinch,Mr Arthur Clennam,345,little-dorrit
Mr Arthur Clennam,Jeremiah Flintwinch,478,little-dorrit
Mr Arthur Clennam,Jeremiah Flintwinch,478,little-dorrit
Jeremiah Flintwinch,Mr Arthur Clennam,478,little-dorrit
Jeremiah Flintwinch,Mr Arthur Clennam,478,little-dorrit
Mr Arthur Clennam,Jeremiah Flintwinch,479,little-dorrit
Mr Arthur Clennam,Jeremiah Flintwinch,479,little-dorrit
Jeremiah Flintwinch,Mr Arthur Clennam,479,little-dorrit
Jeremiah Flintwinch,Mr Arthur Clennam,479,little-dorrit
Mr Arthur Clennam,Jeremiah Flintwinch,480,little-dorrit
Jeremiah Flintwinch,Mr Arthur Clennam,480,little-dorrit
Mr Arthur Clennam,Jeremiah Flintwinch,481,little-dorrit
Jeremiah Flintwinch,Mr Arthur Clennam,481,little-dorrit
Mr Arthur Clennam,Jeremiah Flintwinch,482,little-dorrit
Jeremiah Flintwinch,Mr Arthur Clennam,482,little-dorrit
Little Dorrit,Fanny Dorrit,642,little-dorrit
Fanny Dorrit,Little Dorrit,642,little-dorrit
Bob Turnkey,Tip Dorrit,644,little-dorrit
Bob Turnkey,Tip Dorrit,644,little-dorrit
Tip Dorrit,Bob Turnkey,644,little-dorrit
Tip Dorrit,Bob Turnkey,644,little-dorrit
Fanny Dorrit,Frederick Dorrit,720,little-dorrit
Frederick Dorrit,Fanny Dorrit,720,little-dorrit
Fanny Dorrit,Tip Dorrit,741,little-dorrit
Tip Dorrit,Fanny Dorrit,741,little-dorrit
Little Dorrit,Tip Dorrit,764,little-dorrit
Tip Dorrit,Little Dorrit,764,little-dorrit
Mr Arthur Clennam,Tip Dorrit,767,little-dorrit
Tip Dorrit,Mr Arthur Clennam,767,little-dorrit
Mr Arthur Clennam,Tip Dorrit,772,little-dorrit
Tip Dorrit,Mr Arthur Clennam,772,little-dorrit
Mr Arthur Clennam,Mr Tite Barnacle,855,little-dorrit
Mr Tite Barnacle,Mr Arthur Clennam,855,little-dorrit
Mr Arthur Clennam,Maggy,875,little-dorrit
Maggy,Mr Arthur Clennam,875,little-dorrit
Mr Arthur Clennam,Maggy,877,little-dorrit
Maggy,Mr Arthur Clennam,877,little-dorrit
Mr Arthur Clennam,Mr Tite Barnacle,917,little-dorrit
Mr Tite Barnacle,Mr Arthur Clennam,917,little-dorrit
Mr Arthur Clennam,Mr Tite Barnacle,922,little-dorrit
Mr Tite Barnacle,Mr Arthur Clennam,922,little-dorrit
Mr Tite Barnacle,Thomas,947,little-dorrit
Thomas,Mr Tite Barnacle,947,little-dorrit
Mr Arthur Clennam,Mr Tite Barnacle,978,little-dorrit
Mr Tite Barnacle,Mr Arthur Clennam,978,little-dorrit
Mr Arthur Clennam,Mr Wobbler,980,little-dorrit
Mr Wobbler,Mr Arthur Clennam,980,little-dorrit
Mr Arthur Clennam,Daniel Doyce,1038,little-dorrit
Mr Arthur Clennam,Daniel Doyce,1038,little-dorrit
Daniel Doyce,Mr Arthur Clennam,1038,little-dorrit
Daniel Doyce,Mr Arthur Clennam,1038,little-dorrit
Mr Arthur Clennam,Daniel Doyce,1072,little-dorrit
Mr Arthur Clennam,Daniel Doyce,1072,little-dorrit
Daniel Doyce,Mr Arthur Clennam,1072,little-dorrit
Daniel Doyce,Mr Arthur Clennam,1072,little-dorrit
John Baptist Cavalletto,Rigaud,1145,little-dorrit
Rigaud,John Baptist Cavalletto,1145,little-dorrit
John Baptist Cavalletto,Rigaud,1147,little-dorrit
Rigaud,John Baptist Cavalletto,1147,little-dorrit
John Baptist Cavalletto,Rigaud,1148,little-dorrit
Rigaud,John Baptist Cavalletto,1148,little-dorrit
Mr Arthur Clennam,Daniel Doyce,1185,little-dorrit
Mr Arthur Clennam,Daniel Doyce,1185,little-dorrit
Mr Arthur Clennam,Mr Plornish,1185,little-dorrit
Daniel Doyce,Mr Arthur Clennam,1185,little-dorrit
Daniel Doyce,Mr Plornish,1185,little-dorrit
Daniel Doyce,Mr Arthur Clennam,1185,little-dorrit
Daniel Doyce,Mr Plornish,1185,little-dorrit
Mr Plornish,Mr Arthur Clennam,1185,little-dorrit
Mr Plornish,Daniel Doyce,1185,little-dorrit
Mr Plornish,Daniel Doyce,1185,little-dorrit
Mr Tite Barnacle,Mr Plornish,1199,little-dorrit
Mr Plornish,Mr Tite Barnacle,1199,little-dorrit
Mr Arthur Clennam,Mr Plornish,1227,little-dorrit
Mr Arthur Clennam,Tip Dorrit,1227,little-dorrit
Mr Plornish,Mr Arthur Clennam,1227,little-dorrit
Mr Plornish,Tip Dorrit,1227,little-dorrit
Tip Dorrit,Mr Arthur Clennam,1227,little-dorrit
Tip Dorrit,Mr Plornish,1227,little-dorrit
Mr Arthur Clennam,Mr Plornish,1228,little-dorrit
Mr Plornish,Mr Arthur Clennam,1228,little-dorrit
Mr Arthur Clennam,Mr Plornish,1234,little-dorrit
Mr Plornish,Mr Arthur Clennam,1234,little-dorrit
Christopher Casby,Jeremiah Flintwinch,1237,little-dorrit
Christopher Casby,Flora Casby,1237,little-dorrit
Jeremiah Flintwinch,Christopher Casby,1237,little-dorrit
Jeremiah Flintwinch,Flora Casby,1237,little-dorrit
Flora Casby,Christopher Casby,1237,little-dorrit
Flora Casby,Jeremiah Flintwinch,1237,little-dorrit
Mr Tite Barnacle,Christopher Casby,1244,little-dorrit
Mr Tite Barnacle,Lord Decimus Barnacle,1244,little-dorrit
Christopher Casby,Mr Tite Barnacle,1244,little-dorrit
Christopher Casby,Lord Decimus Barnacle,1244,little-dorrit
Lord Decimus Barnacle,Mr Tite Barnacle,1244,little-dorrit
Lord Decimus Barnacle,Christopher Casby,1244,little-dorrit
Mr Arthur Clennam,Mr Tite Barnacle,1279,little-dorrit
Mr Arthur Clennam,Christopher Casby,1279,little-dorrit
Mr Arthur Clennam,Lord Decimus Barnacle,1279,little-dorrit
Mr Tite Barnacle,Mr Arthur Clennam,1279,little-dorrit
Mr Tite Barnacle,Christopher Casby,1279,little-dorrit
Mr Tite Barnacle,Lord Decimus Barnacle,1279,little-dorrit
Christopher Casby,Mr Arthur Clennam,1279,little-dorrit
Christopher Casby,Mr Tite Barnacle,1279,little-dorrit
Christopher Casby,Lord Decimus Barnacle,1279,little-dorrit
Lord Decimus Barnacle,Mr Arthur Clennam,1279,little-dorrit
Lord Decimus Barnacle,Mr Tite Barnacle,1279,little-dorrit
Lord Decimus Barnacle,Christopher Casby,1279,little-dorrit
Flora Casby,Mr Meagles,1289,little-dorrit
Mr Meagles,Flora Casby,1289,little-dorrit
Mr Arthur Clennam,Flora Casby,1293,little-dorrit
Flora Casby,Mr Arthur Clennam,1293,little-dorrit
Mr Arthur Clennam,Flora Casby,1296,little-dorrit
Flora Casby,Mr Arthur Clennam,1296,little-dorrit
Mr Arthur Clennam,Flora Casby,1300,little-dorrit
Mr Arthur Clennam,Flora Casby,1300,little-dorrit
Flora Casby,Mr Arthur Clennam,1300,little-dorrit
Flora Casby,Mr Arthur Clennam,1300,little-dorrit
Mr Arthur Clennam,Flora Casby,1301,little-dorrit
Flora Casby,Mr Arthur Clennam,1301,little-dorrit
Mr F's Aunt,Flora Casby,1302,little-dorrit
Flora Casby,Mr F's Aunt,1302,little-dorrit
Mr F's Aunt,Flora Casby,1303,little-dorrit
Flora Casby,Mr F's Aunt,1303,little-dorrit
Mr Arthur Clennam,Flora Casby,1305,little-dorrit
Flora Casby,Mr Arthur Clennam,1305,little-dorrit
Flora Casby,Mr Meagles,1312,little-dorrit
Mr Meagles,Flora Casby,1312,little-dorrit
Mr Arthur Clennam,Flora Casby,1314,little-dorrit
Flora Casby,Mr Arthur Clennam,1314,little-dorrit
Mr Arthur Clennam,Flora Casby,1315,little-dorrit
Flora Casby,Mr Arthur Clennam,1315,little-dorrit
Mr F's Aunt,Flora Casby,1316,little-dorrit
Mr F's Aunt,Mr Meagles,1316,little-dorrit
Flora Casby,Mr F's Aunt,1316,little-dorrit
Flora Casby,Mr Meagles,1316,little-dorrit
Mr Meagles,Mr F's Aunt,1316,little-dorrit
Mr Meagles,Flora Casby,1316,little-dorrit
Mr F's Aunt,Flora Casby,1318,little-dorrit
Mr F's Aunt,Mr Meagles,1318,little-dorrit
Flora Casby,Mr F's Aunt,1318,little-dorrit
Flora Casby,Mr Meagles,1318,little-dorrit
Mr Meagles,Mr F's Aunt,1318,little-dorrit
Mr Meagles,Flora Casby,1318,little-dorrit
Mr F's Aunt,Flora Casby,1321,little-dorrit
Flora Casby,Mr F's Aunt,1321,little-dorrit
Mr F's Aunt,Flora Casby,1335,little-dorrit
Mr F's Aunt,Flora Casby,1335,little-dorrit
Flora Casby,Mr F's Aunt,1335,little-dorrit
Flora Casby,Mr F's Aunt,1335,little-dorrit
Mr F's Aunt,Flora Casby,1341,little-dorrit
Mr F's Aunt,Flora Casby,1341,little-dorrit
Flora Casby,Mr F's Aunt,1341,little-dorrit
Flora Casby,Mr F's Aunt,1341,little-dorrit
Mr F's Aunt,Flora Casby,1342,little-dorrit
Mr F's Aunt,Flora Casby,1342,little-dorrit
Flora Casby,Mr F's Aunt,1342,little-dorrit
Flora Casby,Mr F's Aunt,1342,little-dorrit
Mr F's Aunt,Flora Casby,1346,little-dorrit
Mr F's Aunt,Flora Casby,1346,little-dorrit
Flora Casby,Mr F's Aunt,1346,little-dorrit
Flora Casby,Mr F's Aunt,1346,little-dorrit
Mr F's Aunt,Flora Casby,1351,little-dorrit
Flora Casby,Mr F's Aunt,1351,little-dorrit
Mr Arthur Clennam,Flora Casby,1412,little-dorrit
Flora Casby,Mr Arthur Clennam,1412,little-dorrit
Little Dorrit,Fanny Dorrit,1539,little-dorrit
Fanny Dorrit,Little Dorrit,1539,little-dorrit
Mr Arthur Clennam,Jeremiah Flintwinch,1565,little-dorrit
Jeremiah Flintwinch,Mr Arthur Clennam,1565,little-dorrit
Mr Arthur Clennam,Jeremiah Flintwinch,1575,little-dorrit
Jeremiah Flintwinch,Mr Arthur Clennam,1575,little-dorrit
Mr Arthur Clennam,Daniel Doyce,1639,little-dorrit
Daniel Doyce,Mr Arthur Clennam,1639,little-dorrit
Mr Arthur Clennam,Tattycoram,1657,little-dorrit
Tattycoram,Mr Arthur Clennam,1657,little-dorrit
Mr Arthur Clennam,Tattycoram,1675,little-dorrit
Tattycoram,Mr Arthur Clennam,1675,little-dorrit
Mr Arthur Clennam,Miss Minnie Meagles,1684,little-dorrit
Miss Minnie Meagles,Mr Arthur Clennam,1684,little-dorrit
Tattycoram,Miss Wade,1689,little-dorrit
Miss Wade,Tattycoram,1689,little-dorrit
Tattycoram,Miss Wade,1703,little-dorrit
Miss Wade,Tattycoram,1703,little-dorrit
Mr Arthur Clennam,Miss Wade,1711,little-dorrit
Miss Wade,Mr Arthur Clennam,1711,little-dorrit
Mr Arthur Clennam,Daniel Doyce,1712,little-dorrit
Daniel Doyce,Mr Arthur Clennam,1712,little-dorrit
Mr Tite Barnacle,Daniel Doyce,1762,little-dorrit
Mr Tite Barnacle,Lord Decimus Barnacle,1762,little-dorrit
Daniel Doyce,Mr Tite Barnacle,1762,little-dorrit
Daniel Doyce,Lord Decimus Barnacle,1762,little-dorrit
Lord Decimus Barnacle,Mr Tite Barnacle,1762,little-dorrit
Lord Decimus Barnacle,Daniel Doyce,1762,little-dorrit
Mr Arthur Clennam,Mr Tite Barnacle,1772,little-dorrit
Mr Tite Barnacle,Mr Arthur Clennam,1772,little-dorrit
Mr Tite Barnacle,Lord Decimus Barnacle,1781,little-dorrit
Mr Tite Barnacle,Henry Gowan,1781,little-dorrit
Lord Decimus Barnacle,Mr Tite Barnacle,1781,little-dorrit
Lord Decimus Barnacle,Henry Gowan,1781,little-dorrit
Henry Gowan,Mr Tite Barnacle,1781,little-dorrit
Henry Gowan,Lord Decimus Barnacle,1781,little-dorrit
Mr Arthur Clennam,Mr Tite Barnacle,1783,little-dorrit
Mr Tite Barnacle,Mr Arthur Clennam,1783,little-dorrit
Little Dorrit,Frederick Dorrit,1899,little-dorrit
Frederick Dorrit,Little Dorrit,1899,little-dorrit
Little Dorrit,Frederick Dorrit,1919,little-dorrit
Frederick Dorrit,Little Dorrit,1919,little-dorrit
Mr Plornish,Tip Dorrit,1967,little-dorrit
Tip Dorrit,Mr Plornish,1967,little-dorrit
Little Dorrit,Fanny Dorrit,1982,little-dorrit
Fanny Dorrit,Little Dorrit,1982,little-dorrit
Little Dorrit,Fanny Dorrit,1985,little-dorrit
Fanny Dorrit,Little Dorrit,1985,little-dorrit
Little Dorrit,Fanny Dorrit,1988,little-dorrit
Fanny Dorrit,Little Dorrit,1988,little-dorrit
Little Dorrit,Fanny Dorrit,1995,little-dorrit
Little Dorrit,Frederick Dorrit,1995,little-dorrit
Fanny Dorrit,Little Dorrit,1995,little-dorrit
Fanny Dorrit,Frederick Dorrit,1995,little-dorrit
Frederick Dorrit,Little Dorrit,1995,little-dorrit
Frederick Dorrit,Fanny Dorrit,1995,little-dorrit
Fanny Dorrit,Frederick Dorrit,1996,little-dorrit
Frederick Dorrit,Fanny Dorrit,1996,little-dorrit
Little Dorrit,Fanny Dorrit,2040,little-dorrit
Fanny Dorrit,Little Dorrit,2040,little-dorrit
Little Dorrit,Tip Dorrit,2052,little-dorrit
Tip Dorrit,Little Dorrit,2052,little-dorrit
Little Dorrit,Fanny Dorrit,2056,little-dorrit
Fanny Dorrit,Little Dorrit,2056,little-dorrit
Little Dorrit,Fanny Dorrit,2063,little-dorrit
Fanny Dorrit,Little Dorrit,2063,little-dorrit
Bar,Bishop,2098,little-dorrit
Bishop,Bar,2098,little-dorrit
Bar,Bishop,2114,little-dorrit
Bishop,Bar,2114,little-dorrit
Maggy,Tip Dorrit,2171,little-dorrit
Tip Dorrit,Maggy,2171,little-dorrit
Mr Arthur Clennam,Maggy,2173,little-dorrit
Maggy,Mr Arthur Clennam,2173,little-dorrit
Mr Arthur Clennam,Daniel Doyce,2212,little-dorrit
Daniel Doyce,Mr Arthur Clennam,2212,little-dorrit
Mr F's Aunt,Flora Casby,2221,little-dorrit
Mr F's Aunt,Flora Casby,2221,little-dorrit
Flora Casby,Mr F's Aunt,2221,little-dorrit
Flora Casby,Mr F's Aunt,2221,little-dorrit
Mr Arthur Clennam,Mr F's Aunt,2223,little-dorrit
Mr Arthur Clennam,Mr F's Aunt,2223,little-dorrit
Mr F's Aunt,Mr Arthur Clennam,2223,little-dorrit
Mr F's Aunt,Mr Arthur Clennam,2223,little-dorrit
Mr F's Aunt,Flora Casby,2224,little-dorrit
Mr F's Aunt,Flora Casby,2224,little-dorrit
Flora Casby,Mr F's Aunt,2224,little-dorrit
Flora Casby,Mr F's Aunt,2224,little-dorrit
Daniel Doyce,Flora Casby,2227,little-dorrit
