Item1,Item2,Time,Book
MARLEY,Scrooge,1,christmas-carol
MARLEY,Scrooge,1,christmas-carol
MARLEY,Old Marley,1,christmas-carol
Scrooge,MARLEY,1,christmas-carol
Scrooge,Old Marley,1,christmas-carol
Scrooge,MARLEY,1,christmas-carol
Scrooge,Old Marley,1,christmas-carol
Old Marley,MARLEY,1,christmas-carol
Old Marley,Scrooge,1,christmas-carol
Old Marley,Scrooge,1,christmas-carol
Marley,Hamlet,4,christmas-carol
Marley,Father,4,christmas-carol
Marley,Saint Paul,4,christmas-carol
Marley,Hamlet,4,christmas-carol
Marley,Father,4,christmas-carol
Marley,Saint Paul,4,christmas-carol
Hamlet,Marley,4,christmas-carol
Hamlet,Marley,4,christmas-carol
Hamlet,Father,4,christmas-carol
Hamlet,Saint Paul,4,christmas-carol
Father,Marley,4,christmas-carol
Father,Marley,4,christmas-carol
Father,Hamlet,4,christmas-carol
Father,Saint Paul,4,christmas-carol
Saint Paul,Marley,4,christmas-carol
Saint Paul,Marley,4,christmas-carol
Saint Paul,Hamlet,4,christmas-carol
Saint Paul,Father,4,christmas-carol
Scrooge,Marley,5,christmas-carol
Scrooge,Marley,5,christmas-carol
Scrooge,Scrooge Scrooge,5,christmas-carol
Scrooge,Marley,5,christmas-carol
Marley,Scrooge,5,christmas-carol
Marley,Scrooge,5,christmas-carol
Marley,Scrooge Scrooge,5,christmas-carol
Scrooge,Marley,5,christmas-carol
Scrooge,Marley,5,christmas-carol
Scrooge,Scrooge Scrooge,5,christmas-carol
Scrooge,Marley,5,christmas-carol
Marley,Scrooge,5,christmas-carol
Marley,Scrooge,5,christmas-carol
Marley,Scrooge Scrooge,5,christmas-carol
Scrooge Scrooge,Scrooge,5,christmas-carol
Scrooge Scrooge,Marley,5,christmas-carol
Scrooge Scrooge,Scrooge,5,christmas-carol
Scrooge Scrooge,Marley,5,christmas-carol
Scrooge Scrooge,Marley,5,christmas-carol
Marley,Scrooge,5,christmas-carol
Marley,Scrooge,5,christmas-carol
Marley,Scrooge Scrooge,5,christmas-carol
Scrooge,Hard,6,christmas-carol
Hard,Scrooge,6,christmas-carol
Foul,Scrooge,7,christmas-carol
Scrooge,Foul,7,christmas-carol
Christmas Eve,Scrooge,10,christmas-carol
Christmas Eve,Nature,10,christmas-carol
Scrooge,Christmas Eve,10,christmas-carol
Scrooge,Nature,10,christmas-carol
Nature,Christmas Eve,10,christmas-carol
Nature,Scrooge,10,christmas-carol
Scrooge,Merry Christmas,16,christmas-carol
Merry Christmas,Scrooge,16,christmas-carol
Merry Christmas,Scrooge,20,christmas-carol
Merry Christmas,'Merry Christmas,20,christmas-carol
Scrooge,Merry Christmas,20,christmas-carol
Scrooge,'Merry Christmas,20,christmas-carol
'Merry Christmas,Merry Christmas,20,christmas-carol
'Merry Christmas,Scrooge,20,christmas-carol
Christmas,Merry Christmas,38,christmas-carol
Merry Christmas,Christmas,38,christmas-carol
Scrooge,Marley,45,christmas-carol
Scrooge,Mr. Scrooge,45,christmas-carol
Scrooge,Marley,45,christmas-carol
Marley,Scrooge,45,christmas-carol
Marley,Mr. Scrooge,45,christmas-carol
