Item1,Item2,Time,Book
Miss Trotwood,Miss Betsey,10,david-copperfield
Miss Trotwood,Miss Betsey,10,david-copperfield
Miss Trotwood,Miss Betsey,10,david-copperfield
Miss Trotwood,Anyhow,10,david-copperfield
Miss Betsey,Miss Trotwood,10,david-copperfield
Miss Betsey,Anyhow,10,david-copperfield
Miss Betsey,Miss Trotwood,10,david-copperfield
Miss Betsey,Anyhow,10,david-copperfield
Miss Betsey,Miss Trotwood,10,david-copperfield
Miss Betsey,Anyhow,10,david-copperfield
Anyhow,Miss Trotwood,10,david-copperfield
Anyhow,Miss Betsey,10,david-copperfield
Anyhow,Miss Betsey,10,david-copperfield
Anyhow,Miss Betsey,10,david-copperfield
David Copperfield,Miss Betsey,18,david-copperfield
Miss Betsey,David Copperfield,18,david-copperfield
Miss Betsey,Don,23,david-copperfield
Miss Betsey,Don,23,david-copperfield
Don,Miss Betsey,23,david-copperfield
Don,Miss Betsey,23,david-copperfield
Miss Betsey,Baby,27,david-copperfield
Baby,Miss Betsey,27,david-copperfield
Miss Betsey,Rookery,29,david-copperfield
Rookery,Miss Betsey,29,david-copperfield
Rookery,Miss Betsey,31,david-copperfield
Miss Betsey,Rookery,31,david-copperfield
David Copperfield,Miss Betsey,38,david-copperfield
Miss Betsey,David Copperfield,38,david-copperfield
Miss Betsey,David Copperfield,38,david-copperfield
David Copperfield,Miss Betsey,38,david-copperfield
Miss Betsey,Peggotty,50,david-copperfield
Miss Betsey,Copperfield,50,david-copperfield
Peggotty,Miss Betsey,50,david-copperfield
Peggotty,Copperfield,50,david-copperfield
Copperfield,Miss Betsey,50,david-copperfield
Copperfield,Peggotty,50,david-copperfield
Peggotty,Miss Betsey,51,david-copperfield
Peggotty,Don,51,david-copperfield
Miss Betsey,Peggotty,51,david-copperfield
Miss Betsey,Don,51,david-copperfield
Don,Peggotty,51,david-copperfield
Don,Miss Betsey,51,david-copperfield
Miss Betsey,Don,55,david-copperfield
Don,Miss Betsey,55,david-copperfield
David,Miss Betsey,57,david-copperfield
Miss Betsey,David,57,david-copperfield
Don,Miss Betsey,61,david-copperfield
Miss Betsey,Don,61,david-copperfield
Poor Baby,Miss Betsey,64,david-copperfield
Miss Betsey,Poor Baby,64,david-copperfield
Miss Betsey,Mr. Copperfield,69,david-copperfield
Mr. Copperfield,Miss Betsey,69,david-copperfield
Miss Betsey,Don,70,david-copperfield
Miss Betsey,Mr. Copperfield,70,david-copperfield
Don,Miss Betsey,70,david-copperfield
Don,Mr. Copperfield,70,david-copperfield
Mr. Copperfield,Miss Betsey,70,david-copperfield
Mr. Copperfield,Don,70,david-copperfield
Peggotty,Miss Betsey,78,david-copperfield
Peggotty,Ham Peggotty,78,david-copperfield
Miss Betsey,Peggotty,78,david-copperfield
Miss Betsey,Ham Peggotty,78,david-copperfield
Ham Peggotty,Peggotty,78,david-copperfield
Ham Peggotty,Miss Betsey,78,david-copperfield
Ham Peggotty,Miss Betsey,95,david-copperfield
Miss Betsey,Ham Peggotty,95,david-copperfield
Peggotty,Lazarus,122,david-copperfield
Peggotty,Lazarus,122,david-copperfield
Peggotty,Lazarus,122,david-copperfield
Lazarus,Peggotty,122,david-copperfield
Lazarus,Peggotty,122,david-copperfield
Lazarus,Peggotty,122,david-copperfield
Peggotty,Mr. Bodgers,124,david-copperfield
Peggotty,Mr. Bodgers,124,david-copperfield
Peggotty,Mr. Chillip,124,david-copperfield
Peggotty,Mr. Chillip,124,david-copperfield
Peggotty,Mr. Bodgers,124,david-copperfield
Peggotty,Mr. Bodgers,124,david-copperfield
Peggotty,Mr. Chillip,124,david-copperfield
Peggotty,Mr. Chillip,124,david-copperfield
Mr. Bodgers,Peggotty,124,david-copperfield
Mr. Bodgers,Peggotty,124,david-copperfield
Mr. Bodgers,Mr. Chillip,124,david-copperfield
Mr. Bodgers,Mr. Chillip,124,david-copperfield
Mr. Bodgers,Peggotty,124,david-copperfield
Mr. Bodgers,Peggotty,124,david-copperfield
Mr. Bodgers,Peggotty,124,david-copperfield
Mr. Bodgers,Mr. Chillip,124,david-copperfield
Mr. Bodgers,Mr. Chillip,124,david-copperfield
Mr. Bodgers,Peggotty,124,david-copperfield
Mr. Chillip,Peggotty,124,david-copperfield
Mr. Chillip,Peggotty,124,david-copperfield
Mr. Chillip,Mr. Bodgers,124,david-copperfield
Mr. Chillip,Mr. Bodgers,124,david-copperfield
Mr. Chillip,Peggotty,124,david-copperfield
Mr. Chillip,Peggotty,124,david-copperfield
Mr. Chillip,Peggotty,124,david-copperfield
Mr. Chillip,Mr. Bodgers,124,david-copperfield
Mr. Chillip,Mr. Bodgers,124,david-copperfield
Mr. Chillip,Peggotty,124,david-copperfield
Peggotty,Mr. Bodgers,124,david-copperfield
Peggotty,Mr. Bodgers,124,david-copperfield
Peggotty,Mr. Chillip,124,david-copperfield
Peggotty,Mr. Chillip,124,david-copperfield
Peggotty,Paul,127,david-copperfield
Paul,Peggotty,127,david-copperfield
Lord,Master Davy,129,david-copperfield
Lord,Peggotty,129,david-copperfield
Master Davy,Lord,129,david-copperfield
Master Davy,Peggotty,129,david-copperfield
Peggotty,Lord,129,david-copperfield
Peggotty,Master Davy,129,david-copperfield
Davy,Peggotty,133,david-copperfield
Davy,Lawk,133,david-copperfield
Peggotty,Davy,133,david-copperfield
Peggotty,Lawk,133,david-copperfield
Lawk,Davy,133,david-copperfield
Lawk,Peggotty,133,david-copperfield
Peggotty,Master Davy,140,david-copperfield
Master Davy,Peggotty,140,david-copperfield
Mr. Copperfield,Peggotty,164,david-copperfield
Peggotty,Mr. Copperfield,164,david-copperfield
Peggotty,Davy,172,david-copperfield
Peggotty,Davy,172,david-copperfield
Peggotty,Davy,172,david-copperfield
Peggotty,Davy,172,david-copperfield
Davy,Peggotty,172,david-copperfield
Davy,Peggotty,172,david-copperfield
Davy,Peggotty,172,david-copperfield
Davy,Peggotty,172,david-copperfield
Peggotty,Davy,172,david-copperfield
Peggotty,Davy,172,david-copperfield
Peggotty,Davy,172,david-copperfield
Peggotty,Davy,172,david-copperfield
Davy,Peggotty,172,david-copperfield
Davy,Peggotty,172,david-copperfield
Davy,Peggotty,172,david-copperfield
Davy,Peggotty,172,david-copperfield
Mr. Murdstone,Lowestoft,178,david-copperfield
Lowestoft,Mr. Murdstone,178,david-copperfield
Mr. Murdstone,Peggotty,179,david-copperfield
Mr. Murdstone,Peggotty,179,david-copperfield
Peggotty,Mr. Murdstone,179,david-copperfield
Peggotty,Mr. Murdstone,179,david-copperfield
Davy,Mr. Murdstone,185,david-copperfield
Mr. Murdstone,Davy,185,david-copperfield
Mr. Brooks,Mr. Murdstone,193,david-copperfield
Mr. Brooks,Quinion,193,david-copperfield
Mr. Murdstone,Mr. Brooks,193,david-copperfield
Mr. Murdstone,Quinion,193,david-copperfield
Quinion,Mr. Brooks,193,david-copperfield
Quinion,Mr. Murdstone,193,david-copperfield
Brooks,Mr. Murdstone,195,david-copperfield
Mr. Murdstone,Brooks,195,david-copperfield
Skylark,Mr. Skylark,197,david-copperfield
Mr. Skylark,Skylark,197,david-copperfield
Mr. Murdstone,Mr. Quinion,198,david-copperfield
Mr. Murdstone,Mr. Passnidge,198,david-copperfield
Mr. Quinion,Mr. Murdstone,198,david-copperfield
Mr. Quinion,Mr. Murdstone,198,david-copperfield
Mr. Quinion,Mr. Passnidge,198,david-copperfield
Mr. Quinion,Mr. Murdstone,198,david-copperfield
