Item1,Item2,Time,Book
Dombey,Son,1,dombey-and-son
Son,Dombey,1,dombey-and-son
Dombey,Son,2,dombey-and-son
Dombey,Time,2,dombey-and-son
Dombey,Care,2,dombey-and-son
Dombey,Son,2,dombey-and-son
Dombey,Son,2,dombey-and-son
Dombey,Time,2,dombey-and-son
Dombey,Care,2,dombey-and-son
Dombey,Son,2,dombey-and-son
Son,Dombey,2,dombey-and-son
Son,Dombey,2,dombey-and-son
Son,Time,2,dombey-and-son
Son,Care,2,dombey-and-son
Time,Dombey,2,dombey-and-son
Time,Dombey,2,dombey-and-son
Time,Son,2,dombey-and-son
Time,Care,2,dombey-and-son
Time,Son,2,dombey-and-son
Care,Dombey,2,dombey-and-son
Care,Dombey,2,dombey-and-son
Care,Son,2,dombey-and-son
Care,Time,2,dombey-and-son
Care,Son,2,dombey-and-son
Son,Dombey,2,dombey-and-son
Son,Dombey,2,dombey-and-son
Son,Time,2,dombey-and-son
Son,Care,2,dombey-and-son
Mrs Dombey,Dombey,4,dombey-and-son
Mrs Dombey,Son,4,dombey-and-son
Mrs Dombey,Son,4,dombey-and-son
Dombey,Mrs Dombey,4,dombey-and-son
Dombey,Son,4,dombey-and-son
Dombey,Son,4,dombey-and-son
Son,Mrs Dombey,4,dombey-and-son
Son,Dombey,4,dombey-and-son
Son,Mrs Dombey,4,dombey-and-son
Son,Dombey,4,dombey-and-son
Mrs Dombey,Junior,9,dombey-and-son
Mrs Dombey,Dombey,9,dombey-and-son
Mrs Dombey,Son,9,dombey-and-son
Junior,Mrs Dombey,9,dombey-and-son
Junior,Dombey,9,dombey-and-son
Junior,Son,9,dombey-and-son
Dombey,Mrs Dombey,9,dombey-and-son
Dombey,Junior,9,dombey-and-son
Dombey,Son,9,dombey-and-son
Son,Mrs Dombey,9,dombey-and-son
Son,Junior,9,dombey-and-son
Son,Dombey,9,dombey-and-son
Dombey,Son,10,dombey-and-son
Dombey,Anno Domini,10,dombey-and-son
Dombey,Son,10,dombey-and-son
Dombey,Anno Domini,10,dombey-and-son
Son,Dombey,10,dombey-and-son
Son,Dombey,10,dombey-and-son
Son,Anno Domini,10,dombey-and-son
Anno Domini,Dombey,10,dombey-and-son
Anno Domini,Dombey,10,dombey-and-son
Anno Domini,Son,10,dombey-and-son
Son,Dombey,11,dombey-and-son
Son,Dombey,11,dombey-and-son
Son,Dombey,11,dombey-and-son
Son,Dombey,11,dombey-and-son
Dombey,Son,11,dombey-and-son
Dombey,Son,11,dombey-and-son
Son,Dombey,11,dombey-and-son
Son,Dombey,11,dombey-and-son
Son,Dombey,11,dombey-and-son
Son,Dombey,11,dombey-and-son
Dombey,Son,11,dombey-and-son
Dombey,Son,11,dombey-and-son
Dombey,Son,11,dombey-and-son
Dombey,Son,11,dombey-and-son
Dombey,Son,11,dombey-and-son
Dombey,Son,11,dombey-and-son
Dombey,Son,12,dombey-and-son
Son,Dombey,12,dombey-and-son
Son,Dombey,12,dombey-and-son
Dombey,Son,12,dombey-and-son
Doctor Peps,Mrs,20,dombey-and-son
Mrs,Doctor Peps,20,dombey-and-son
Blockitt,Sir,21,dombey-and-son
Sir,Blockitt,21,dombey-and-son
Sir,Miss Florence,23,dombey-and-son
Miss Florence,Sir,23,dombey-and-son
Doctor,Parker Peps,25,dombey-and-son
Doctor,Doctor Parker Pep,25,dombey-and-son
Parker Peps,Doctor,25,dombey-and-son
