Item1,Item2,Time,Book
Facts,Stick,1,hard-times
Stick,Facts,1,hard-times
Thomas Gradgrind,George Gradgrind,7,hard-times
Thomas Gradgrind,John Gradgrind,7,hard-times
Thomas Gradgrind,Joseph Gradgrind,7,hard-times
Thomas Gradgrind,Thomas Gradgrind—no,7,hard-times
George Gradgrind,Thomas Gradgrind,7,hard-times
George Gradgrind,John Gradgrind,7,hard-times
George Gradgrind,Joseph Gradgrind,7,hard-times
George Gradgrind,Thomas Gradgrind—no,7,hard-times
John Gradgrind,Thomas Gradgrind,7,hard-times
John Gradgrind,George Gradgrind,7,hard-times
John Gradgrind,Joseph Gradgrind,7,hard-times
John Gradgrind,Thomas Gradgrind—no,7,hard-times
Joseph Gradgrind,Thomas Gradgrind,7,hard-times
Joseph Gradgrind,George Gradgrind,7,hard-times
Joseph Gradgrind,John Gradgrind,7,hard-times
Joseph Gradgrind,Thomas Gradgrind—no,7,hard-times
Thomas Gradgrind—no,Thomas Gradgrind,7,hard-times
Thomas Gradgrind—no,George Gradgrind,7,hard-times
Thomas Gradgrind—no,John Gradgrind,7,hard-times
Thomas Gradgrind—no,Joseph Gradgrind,7,hard-times
Mr. Gradgrind,Thomas Gradgrind,8,hard-times
Mr. Gradgrind,Thomas Gradgrind,8,hard-times
Thomas Gradgrind,Mr. Gradgrind,8,hard-times
Thomas Gradgrind,Mr. Gradgrind,8,hard-times
Mr. Gradgrind,Don,12,hard-times
Don,Mr. Gradgrind,12,hard-times
Mr. Gradgrind,Cecilia Jupe,14,hard-times
Cecilia Jupe,Mr. Gradgrind,14,hard-times
Mr.,Gradgrind,16,hard-times
Gradgrind,Mr.,16,hard-times
Mr. Gradgrind,Girl,23,hard-times
Mr. Gradgrind,Bitzer,23,hard-times
Girl,Mr. Gradgrind,23,hard-times
Girl,Bitzer,23,hard-times
Bitzer,Mr. Gradgrind,23,hard-times
Bitzer,Girl,23,hard-times
Hoofs,Bitzer,26,hard-times
Bitzer,Hoofs,26,hard-times
Thomas Gradgrind,Don,35,hard-times
Don,Thomas Gradgrind,35,hard-times
Taste,Thomas Gradgrind,38,hard-times
Thomas Gradgrind,Taste,38,hard-times
Cecilia Jupe,Thomas Gradgrind,48,hard-times
Thomas Gradgrind,Cecilia Jupe,48,hard-times
Mr. M,Mr. Gradgrind,52,hard-times
Mr. Gradgrind,Mr. M,52,hard-times
Mr.,Gradgrind,53,hard-times
Gradgrind,Mr.,53,hard-times
Mr. M,Orthography,54,hard-times
Mr. M,Her Majesty,54,hard-times
Mr. M,Schedule B,54,hard-times
Mr. M,Latin,54,hard-times
Mr. M,M,54,hard-times
Orthography,Mr. M,54,hard-times
Orthography,Her Majesty,54,hard-times
Orthography,Schedule B,54,hard-times
Orthography,Latin,54,hard-times
Orthography,M,54,hard-times
Her Majesty,Mr. M,54,hard-times
Her Majesty,Orthography,54,hard-times
Her Majesty,Schedule B,54,hard-times
Her Majesty,Latin,54,hard-times
Her Majesty,M,54,hard-times
Schedule B,Mr. M,54,hard-times
Schedule B,Orthography,54,hard-times
Schedule B,Her Majesty,54,hard-times
Schedule B,Latin,54,hard-times
Schedule B,M,54,hard-times
Latin,Mr. M,54,hard-times
Latin,Orthography,54,hard-times
Latin,Her Majesty,54,hard-times
Latin,Schedule B,54,hard-times
Latin,M,54,hard-times
M,Mr. M,54,hard-times
M,Orthography,54,hard-times
M,Her Majesty,54,hard-times
M,Schedule B,54,hard-times
M,Latin,54,hard-times
Gradgrind,Twinkle,61,hard-times
Gradgrind,Charles,61,hard-times
Gradgrind,Wain,61,hard-times
Gradgrind,Tom Thumb,61,hard-times
Gradgrind,Twinkle,61,hard-times
Gradgrind,Charles,61,hard-times
Gradgrind,Wain,61,hard-times
Gradgrind,Tom Thumb,61,hard-times
Twinkle,Gradgrind,61,hard-times
Twinkle,Gradgrind,61,hard-times
Twinkle,Gradgrind,61,hard-times
Twinkle,Charles,61,hard-times
Twinkle,Wain,61,hard-times
Twinkle,Gradgrind,61,hard-times
Twinkle,Tom Thumb,61,hard-times
Gradgrind,Twinkle,61,hard-times
Gradgrind,Charles,61,hard-times
Gradgrind,Wain,61,hard-times
Gradgrind,Tom Thumb,61,hard-times
Charles,Gradgrind,61,hard-times
Charles,Gradgrind,61,hard-times
Charles,Twinkle,61,hard-times
Charles,Gradgrind,61,hard-times
Charles,Wain,61,hard-times
Charles,Gradgrind,61,hard-times
Charles,Tom Thumb,61,hard-times
Wain,Gradgrind,61,hard-times
