Item1,Item2,Time,Book
Mr. Godfrey Nickleby,Mr. Nickleby,3,nicholas-nickleby
Mr. Nickleby,Mr. Godfrey Nickleby,3,nicholas-nickleby
Heaven,Mr. Nickleby,4,nicholas-nickleby
Heaven,Mr. Nickleby,4,nicholas-nickleby
Heaven,Mr. Nickleby,4,nicholas-nickleby
Mr. Nickleby,Heaven,4,nicholas-nickleby
Mr. Nickleby,Heaven,4,nicholas-nickleby
Mr. Nickleby,Heaven,4,nicholas-nickleby
Nickleby,Mr. Ralph Nickleby,5,nicholas-nickleby
Mr. Ralph Nickleby,Nickleby,5,nicholas-nickleby
Mr. Godfrey Nickleby,Ralph,7,nicholas-nickleby
Mr. Godfrey Nickleby,Nicholas,7,nicholas-nickleby
Ralph,Mr. Godfrey Nickleby,7,nicholas-nickleby
Ralph,Nicholas,7,nicholas-nickleby
Nicholas,Mr. Godfrey Nickleby,7,nicholas-nickleby
Nicholas,Ralph,7,nicholas-nickleby
Ralph Nickleby,Master Ralph Nickleby,10,nicholas-nickleby
Master Ralph Nickleby,Ralph Nickleby,10,nicholas-nickleby
Ralph Nickleby,Mr. Ralph Nickleby,12,nicholas-nickleby
Mr. Ralph Nickleby,Ralph Nickleby,12,nicholas-nickleby
Nicholas,Nickleby,13,nicholas-nickleby
Nickleby,Nicholas,13,nicholas-nickleby
Mr.,Nickleby,30,nicholas-nickleby
Nickleby,Mr.,30,nicholas-nickleby
Mr.,Ralph Nickleby,34,nicholas-nickleby
Mr.,Mr. Ralph Nickleby,34,nicholas-nickleby
Ralph Nickleby,Mr.,34,nicholas-nickleby
Ralph Nickleby,Mr. Ralph Nickleby,34,nicholas-nickleby
Mr. Ralph Nickleby,Mr.,34,nicholas-nickleby
Mr. Ralph Nickleby,Ralph Nickleby,34,nicholas-nickleby
Mr.,Ralph Nickleby,37,nicholas-nickleby
Mr.,Mr. Nickleby,37,nicholas-nickleby
Ralph Nickleby,Mr.,37,nicholas-nickleby
Ralph Nickleby,Mr. Nickleby,37,nicholas-nickleby
Mr. Nickleby,Mr.,37,nicholas-nickleby
Mr. Nickleby,Ralph Nickleby,37,nicholas-nickleby
Mr.,Nickleby,38,nicholas-nickleby
Nickleby,Mr.,38,nicholas-nickleby
Mr. Ralph Nickleby,Nickleby,39,nicholas-nickleby
Nickleby,Mr. Ralph Nickleby,39,nicholas-nickleby
Noggs,Mr. Nickleby,41,nicholas-nickleby
Mr. Nickleby,Noggs,41,nicholas-nickleby
Noggs,Mr. Noggs,50,nicholas-nickleby
