Item1,Item2,Time,Book
Covent,Garden Market,5,old-curiosity-shop
Garden Market,Covent,5,old-curiosity-shop
Don,God,44,old-curiosity-shop
God,Don,44,old-curiosity-shop
Kit,Nell,68,old-curiosity-shop
Nell,Kit,68,old-curiosity-shop
Dick Swiveller,Sit,123,old-curiosity-shop
Dick Swiveller,Swiveller,123,old-curiosity-shop
Sit,Dick Swiveller,123,old-curiosity-shop
Sit,Swiveller,123,old-curiosity-shop
Swiveller,Dick Swiveller,123,old-curiosity-shop
Swiveller,Sit,123,old-curiosity-shop
Swiveller,Arab,133,old-curiosity-shop
Arab,Swiveller,133,old-curiosity-shop
Eton,Jamaica,139,old-curiosity-shop
Jamaica,Eton,139,old-curiosity-shop
Sir,Swiveller,142,old-curiosity-shop
Swiveller,Sir,142,old-curiosity-shop
Swiveller,Sir,180,old-curiosity-shop
Sir,Swiveller,180,old-curiosity-shop
Ask Mrs Quilp,Mrs Quilp,194,old-curiosity-shop
Mrs Quilp,Ask Mrs Quilp,194,old-curiosity-shop
Nell,Hark,209,old-curiosity-shop
Nell,Kit,209,old-curiosity-shop
Hark,Nell,209,old-curiosity-shop
Hark,Kit,209,old-curiosity-shop
Hark,Nell,209,old-curiosity-shop
Kit,Nell,209,old-curiosity-shop
Kit,Hark,209,old-curiosity-shop
Kit,Nell,209,old-curiosity-shop
Nell,Hark,209,old-curiosity-shop
Nell,Kit,209,old-curiosity-shop
Mrs Quilp,Tower Hill,217,old-curiosity-shop
Mrs Quilp,Tower Hill,217,old-curiosity-shop
Mrs Quilp,Quilp,217,old-curiosity-shop
Tower Hill,Mrs Quilp,217,old-curiosity-shop
Tower Hill,Quilp,217,old-curiosity-shop
Tower Hill,Mrs Quilp,217,old-curiosity-shop
Tower Hill,Quilp,217,old-curiosity-shop
Quilp,Mrs Quilp,217,old-curiosity-shop
Quilp,Tower Hill,217,old-curiosity-shop
Quilp,Tower Hill,217,old-curiosity-shop
Wharf,Quilp,218,old-curiosity-shop
Wharf,Daniel Quilp,218,old-curiosity-shop
Quilp,Wharf,218,old-curiosity-shop
Quilp,Wharf,218,old-curiosity-shop
Quilp,Daniel Quilp,218,old-curiosity-shop
Wharf,Quilp,218,old-curiosity-shop
Wharf,Daniel Quilp,218,old-curiosity-shop
Daniel Quilp,Wharf,218,old-curiosity-shop
Daniel Quilp,Quilp,218,old-curiosity-shop
Daniel Quilp,Wharf,218,old-curiosity-shop
Mrs Quilp,Daniel,219,old-curiosity-shop
Daniel,Mrs Quilp,219,old-curiosity-shop
Daniel,Mrs Quilp,219,old-curiosity-shop
Mrs Quilp,Daniel,219,old-curiosity-shop
Mrs Jiniwin,Quilp,223,old-curiosity-shop
Quilp,Mrs Jiniwin,223,old-curiosity-shop
Betsy,Mrs Jiniwin,227,old-curiosity-shop
Betsy,How,227,old-curiosity-shop
Mrs Jiniwin,Betsy,227,old-curiosity-shop
Mrs Jiniwin,How,227,old-curiosity-shop
How,Betsy,227,old-curiosity-shop
How,Mrs Jiniwin,227,old-curiosity-shop
Mrs Quilp,Quilp,229,old-curiosity-shop
Quilp,Mrs Quilp,229,old-curiosity-shop
Mrs Quilp,Quilp,231,old-curiosity-shop
Quilp,Mrs Quilp,231,old-curiosity-shop
Mother,Mrs Quilp,233,old-curiosity-shop
Mother,Didn,233,old-curiosity-shop
Mrs Quilp,Mother,233,old-curiosity-shop
Mrs Quilp,Didn,233,old-curiosity-shop
Didn,Mother,233,old-curiosity-shop
Didn,Mrs Quilp,233,old-curiosity-shop
George,Betsy,235,old-curiosity-shop
Betsy,George,235,old-curiosity-shop
Mrs Quilp,Mrs Jiniwin,238,old-curiosity-shop
Mrs Jiniwin,Mrs Quilp,238,old-curiosity-shop
George,Mrs Simmons,241,old-curiosity-shop
George,Henrietta Simmons,241,old-curiosity-shop
George,Simmons,241,old-curiosity-shop
George,Mrs Jiniwin,241,old-curiosity-shop
George,Daniel Quilp,241,old-curiosity-shop
Mrs Simmons,George,241,old-curiosity-shop
Mrs Simmons,Henrietta Simmons,241,old-curiosity-shop
Mrs Simmons,Simmons,241,old-curiosity-shop
Mrs Simmons,Mrs Jiniwin,241,old-curiosity-shop
Mrs Simmons,Daniel Quilp,241,old-curiosity-shop
Henrietta Simmons,George,241,old-curiosity-shop
Henrietta Simmons,Mrs Simmons,241,old-curiosity-shop
Henrietta Simmons,Simmons,241,old-curiosity-shop
Henrietta Simmons,Mrs Jiniwin,241,old-curiosity-shop
Henrietta Simmons,Daniel Quilp,241,old-curiosity-shop
Simmons,George,241,old-curiosity-shop
Simmons,Mrs Simmons,241,old-curiosity-shop
Simmons,Henrietta Simmons,241,old-curiosity-shop
Simmons,Mrs Jiniwin,241,old-curiosity-shop
Simmons,Daniel Quilp,241,old-curiosity-shop
Mrs Jiniwin,George,241,old-curiosity-shop
Mrs Jiniwin,Mrs Simmons,241,old-curiosity-shop
Mrs Jiniwin,Henrietta Simmons,241,old-curiosity-shop
