Item1,Item2,Time,Book
Death,Woodman,4,tale-of-two-cities
Woodman,Death,4,tale-of-two-cities
Turnham Green,Giles,5,tale-of-two-cities
Giles,Turnham Green,5,tale-of-two-cities
Shooter,Hill,9,tale-of-two-cities
Shooter,Reins,9,tale-of-two-cities
Shooter,Reason,9,tale-of-two-cities
Hill,Shooter,9,tale-of-two-cities
Hill,Reins,9,tale-of-two-cities
Hill,Reason,9,tale-of-two-cities
Reins,Shooter,9,tale-of-two-cities
Reins,Hill,9,tale-of-two-cities
Reins,Reason,9,tale-of-two-cities
Reason,Shooter,9,tale-of-two-cities
Reason,Hill,9,tale-of-two-cities
Reason,Reins,9,tale-of-two-cities
Shooter,Hill,12,tale-of-two-cities
Hill,Shooter,12,tale-of-two-cities
Keep,Lorry,39,tale-of-two-cities
Lorry,Keep,39,tale-of-two-cities
Mam,Jerry,54,tale-of-two-cities
Jerry,Mam,54,tale-of-two-cities
Hallo,Joe,60,tale-of-two-cities
Joe,Hallo,60,tale-of-two-cities
Temple Bar,Jerry,67,tale-of-two-cities
Temple Bar,Jerry,67,tale-of-two-cities
Temple Bar,Jerry,67,tale-of-two-cities
Jerry,Temple Bar,67,tale-of-two-cities
Jerry,Temple Bar,67,tale-of-two-cities
Jerry,Temple Bar,67,tale-of-two-cities
Bank,Temple Bar,75,tale-of-two-cities
Temple Bar,Bank,75,tale-of-two-cities
Tellson,Bank,77,tale-of-two-cities
Bank,Tellson,77,tale-of-two-cities
Bank,Tellson,77,tale-of-two-cities
Tellson,Bank,77,tale-of-two-cities
Show Concord,Gentleman,111,tale-of-two-cities
Show Concord,Pull,111,tale-of-two-cities
Gentleman,Show Concord,111,tale-of-two-cities
Gentleman,Pull,111,tale-of-two-cities
Pull,Show Concord,111,tale-of-two-cities
Pull,Gentleman,111,tale-of-two-cities
Mr. Jarvis Lorry,Tellson,116,tale-of-two-cities
Mr. Jarvis Lorry,Please,116,tale-of-two-cities
Tellson,Mr. Jarvis Lorry,116,tale-of-two-cities
Tellson,Please,116,tale-of-two-cities
Please,Mr. Jarvis Lorry,116,tale-of-two-cities
Please,Tellson,116,tale-of-two-cities
Mr. Lorry,Dover,129,tale-of-two-cities
Dover,Mr. Lorry,129,tale-of-two-cities
Miss Manette,Tellson,133,tale-of-two-cities
Tellson,Miss Manette,133,tale-of-two-cities
Miss,Manette,135,tale-of-two-cities
Miss,Tellson,135,tale-of-two-cities
Manette,Miss,135,tale-of-two-cities
Manette,Tellson,135,tale-of-two-cities
Tellson,Miss,135,tale-of-two-cities
Tellson,Manette,135,tale-of-two-cities
Tellson,Miss Manette,136,tale-of-two-cities
Miss Manette,Tellson,136,tale-of-two-cities
Mr. Lorry,Miss Manette,137,tale-of-two-cities
Mr. Lorry,Miss Manette,137,tale-of-two-cities
Miss Manette,Mr. Lorry,137,tale-of-two-cities
Miss Manette,Mr. Lorry,137,tale-of-two-cities
Mr.,Lorry,143,tale-of-two-cities
Lorry,Mr.,143,tale-of-two-cities
Mr.,Lorry,167,tale-of-two-cities
Lorry,Mr.,167,tale-of-two-cities
Mr.,Lorry,191,tale-of-two-cities
Lorry,Mr.,191,tale-of-two-cities
Mr. Lorry,Tellson,193,tale-of-two-cities
Mr. Lorry,Miss Manette,193,tale-of-two-cities
