Item1,Item2,Time
Gaffer,George,60
George,Gaffer,60
George,Gaffer,60
Gaffer,George,60
Gaffer,Pardner,66
Pardner,Gaffer,66
Tother,Don,72
Don,Tother,72
Cast,Pull,76
Pull,Cast,76
Lizzie,Gaffer,77
Gaffer,Lizzie,77
Saint James,Twemlow,83
Saint James,Lord Snigsworth,83
Saint James,Mrs Veneering,83
Saint James,Twemlow,83
Saint James,Twemlow,83
Saint James,Mrs Veneering,83
Saint James,Twemlow,83
Twemlow,Saint James,83
Twemlow,Lord Snigsworth,83
Twemlow,Mrs Veneering,83
Twemlow,Mrs Veneering,83
Lord Snigsworth,Saint James,83
Lord Snigsworth,Twemlow,83
Lord Snigsworth,Mrs Veneering,83
Lord Snigsworth,Twemlow,83
Lord Snigsworth,Twemlow,83
Lord Snigsworth,Mrs Veneering,83
Lord Snigsworth,Twemlow,83
Mrs Veneering,Saint James,83
Mrs Veneering,Twemlow,83
Mrs Veneering,Lord Snigsworth,83
Mrs Veneering,Twemlow,83
Mrs Veneering,Twemlow,83
Mrs Veneering,Twemlow,83
Twemlow,Saint James,83
Twemlow,Lord Snigsworth,83
Twemlow,Mrs Veneering,83
Twemlow,Mrs Veneering,83
Twemlow,Saint James,83
Twemlow,Lord Snigsworth,83
Twemlow,Mrs Veneering,83
Twemlow,Mrs Veneering,83
Mrs Veneering,Saint James,83
Mrs Veneering,Twemlow,83
Mrs Veneering,Lord Snigsworth,83
Mrs Veneering,Twemlow,83
Mrs Veneering,Twemlow,83
Mrs Veneering,Twemlow,83
Twemlow,Saint James,83
Twemlow,Lord Snigsworth,83
Twemlow,Mrs Veneering,83
Twemlow,Mrs Veneering,83
Saint James,Square,84
Saint James,Twemlow,84
Saint James,Twemlow,84
Saint James,Twemlow,84
Saint James,Twemlow,84
Square,Saint James,84
Square,Twemlow,84
Square,Twemlow,84
Square,Twemlow,84
Square,Twemlow,84
Twemlow,Saint James,84
Twemlow,Square,84
Twemlow,Saint James,84
Twemlow,Square,84
Twemlow,Saint James,84
Twemlow,Square,84
Twemlow,Saint James,84
Twemlow,Square,84
Mrs Podsnap,Mrs Veneering,95
Mrs Veneering,Mrs Podsnap,95
Twemlow,Whereupon,99
Whereupon,Twemlow,99
Whereupon,Twemlow,99
Whereupon,Twemlow,99
Twemlow,Whereupon,99
Twemlow,Whereupon,99
Twemlow,Boots,104
Twemlow,Lord Snigsworth,104
Twemlow,Boots,104
Boots,Twemlow,104
Boots,Lord Snigsworth,104
Lord Snigsworth,Twemlow,104
Lord Snigsworth,Boots,104
Lord Snigsworth,Boots,104
Boots,Twemlow,104
Boots,Lord Snigsworth,104
College,Podsnap,105
College,Lady Tippins,105
College,Mrs Veneering,105
College,Lady Tippins,105
College,Reflects Eugene,105
College,Boots,105
College,Buffers,105
Podsnap,College,105
Podsnap,Lady Tippins,105
Podsnap,Mrs Veneering,105
Podsnap,Lady Tippins,105
Podsnap,Reflects Eugene,105
Podsnap,Boots,105
Podsnap,Buffers,105
Lady Tippins,College,105
Lady Tippins,Podsnap,105
Lady Tippins,Mrs Veneering,105
Lady Tippins,Reflects Eugene,105
Lady Tippins,Boots,105
Lady Tippins,Buffers,105
Mrs Veneering,College,105
Mrs Veneering,Podsnap,105
Mrs Veneering,Lady Tippins,105
Mrs Veneering,Lady Tippins,105
Mrs Veneering,Reflects Eugene,105
Mrs Veneering,Boots,105
Mrs Veneering,Buffers,105
Lady Tippins,College,105
Lady Tippins,Podsnap,105
Lady Tippins,Mrs Veneering,105
Lady Tippins,Reflects Eugene,105
Lady Tippins,Boots,105
Lady Tippins,Buffers,105
Reflects Eugene,College,105
Reflects Eugene,Podsnap,105
Reflects Eugene,Lady Tippins,105
Reflects Eugene,Mrs Veneering,105
Reflects Eugene,Lady Tippins,105
Reflects Eugene,Boots,105
Reflects Eugene,Buffers,105
Boots,College,105
Boots,Podsnap,105
Boots,Lady Tippins,105
Boots,Mrs Veneering,105
Boots,Lady Tippins,105
Boots,Reflects Eugene,105
Boots,Buffers,105
Buffers,College,105
Buffers,Podsnap,105
Buffers,Lady Tippins,105
Buffers,Mrs Veneering,105
Buffers,Lady Tippins,105
Buffers,Reflects Eugene,105
Buffers,Boots,105
Lady Tippins,Tippins,118
Tippins,Lady Tippins,118
Lady Tippins,Sorry,127
Sorry,Lady Tippins,127
Eugene,Harmon,131
Eugene,Dust,131
Harmon,Eugene,131
Harmon,Dust,131
Dust,Eugene,131
Dust,Harmon,131
Same,Buffer,147
Buffer,Same,147
Mortimer,Mrs Podsnap,150
Mrs Podsnap,Mortimer,150
Lady Tippins,Falser,156
Lady Tippins,Don Juan,156
Falser,Lady Tippins,156
Falser,Don Juan,156
Don Juan,Lady Tippins,156
Don Juan,Falser,156
Pharaoh,Lazarus,185
Lazarus,Pharaoh,185
Mortimer,Lady Tippins,195
Lady Tippins,Mortimer,195
Eugene,Cassim Baba,202
Eugene,Cassim,202
Cassim Baba,Eugene,202
Cassim Baba,Cassim,202
Cassim,Eugene,202
Cassim,Cassim Baba,202
Mortimer,Whether,203
Whether,Mortimer,203
Penny,Gaffer Hexam,223
Gaffer Hexam,Penny,223
Gaffer,Hexam,225
Gaffer,Look,225
Hexam,Gaffer,225
Hexam,Look,225
Look,Gaffer,225
Look,Hexam,225
Lightwood,Eugene Wrayburn,233
Eugene Wrayburn,Lightwood,233
Gaffer Hexam,Which,240
Which,Gaffer Hexam,240
Eugene,Lady Tippins,256
Lady Tippins,Eugene,256
Steward,Likewise,257
Steward,Probably,257
Steward,Inquest,257
Likewise,Steward,257
Likewise,Probably,257
Likewise,Inquest,257
Probably,Steward,257
Probably,Likewise,257
Probably,Inquest,257
Inquest,Steward,257
Inquest,Likewise,257
Inquest,Probably,257
Julius Handford,Exchequer Coffee House,279
Julius Handford,Palace Yard,279
Exchequer Coffee House,Julius Handford,279
Exchequer Coffee House,Palace Yard,279
Palace Yard,Julius Handford,279
Palace Yard,Exchequer Coffee House,279
Might,Stomach,288
Stomach,Might,288
Gaffer Hexam,Gaffer,289
Gaffer,Gaffer Hexam,289
Don,Charley,294
Charley,Don,294
Don,Liz,302
Liz,Don,302
Noah,Ark,307
Ark,Noah,307
Don,Charley,308
Don,Charley,308
Charley,Don,308
Charley,Don,308
Charley,Hark,335
Charley,Father,335
Hark,Charley,335
Hark,Father,335
Father,Charley,335
Father,Hark,335
John Harmon,Twemlow,338
John Harmon,Podsnap,338
John Harmon,Jacob Kibble,338
John Harmon,Jesse Hexam,338
John Harmon,Burial,338
John Harmon,Sir,338
Twemlow,John Harmon,338
Twemlow,Podsnap,338
Twemlow,Jacob Kibble,338
Twemlow,John Harmon,338
Twemlow,Jesse Hexam,338
Twemlow,Burial,338
Twemlow,Sir,338
Podsnap,John Harmon,338
Podsnap,Twemlow,338
Podsnap,Jacob Kibble,338
Podsnap,John Harmon,338
Podsnap,Jesse Hexam,338
Podsnap,Burial,338
Podsnap,Sir,338
Jacob Kibble,John Harmon,338
Jacob Kibble,Twemlow,338
Jacob Kibble,Podsnap,338
Jacob Kibble,John Harmon,338
Jacob Kibble,Jesse Hexam,338
Jacob Kibble,Burial,338
Jacob Kibble,Sir,338
John Harmon,Twemlow,338
John Harmon,Podsnap,338
John Harmon,Jacob Kibble,338
John Harmon,Jesse Hexam,338
John Harmon,Burial,338
John Harmon,Sir,338
Jesse Hexam,John Harmon,338
Jesse Hexam,Twemlow,338
Jesse Hexam,Podsnap,338
Jesse Hexam,Jacob Kibble,338
Jesse Hexam,John Harmon,338
Jesse Hexam,Burial,338
Jesse Hexam,Sir,338
Burial,John Harmon,338
Burial,Twemlow,338
Burial,Podsnap,338
Burial,Jacob Kibble,338
Burial,John Harmon,338
Burial,Jesse Hexam,338
Burial,Sir,338
Sir,John Harmon,338
Sir,Twemlow,338
Sir,Podsnap,338
Sir,Jacob Kibble,338
