id;color;type
Tis;;
Branch Station;;
Patience;;
Eugene Wrayburn;green;poor
Saveloy;;
Coffee;;
Idea;;
Aslant;;
Palace Yard;;
Decorator;;
Always;;
Neptune;;
P;;
Fascination;;
Allow Mrs Podsnap;;
Wonderful;;
Enormously Rich;;
Harkee;;
Union House;;
Inspected;;
Yard;;
Old Harmon;;
Poor Bella;green;poor
Falser;;
Woman;;
Knight;;
Inferior;;
Having;;
Power;;
Griffiths;green;poor
Gallows Bay;;
Doffin;;
Dear Pa;;
Mrs;;
Granny;green;poor
Hadn;;
Who;;
O;;
Inquest;;
Tippins;;
Sooth;;
Wat Tyler;;
Humph;;
Doesn;;
Mister Sloppy;green;poor
Begone;;
Cook;;
Queer;;
Haven;;
Get;;
Cayenne;;
Whereunto;;
Little Eyes Pubsey;;
Agincourt;;
Miss Bella Wilfer;green;poor
Tut;;
Missis;;
Nose;;
Duke Street;;
Schoolmaster;;
Hows;;
Alfred Lammle;green;poor
Dolls;;
Kicketty;;
Albany;;
Peace;;
Algebra;;
Angel;;
John Overs;green;poor
Onward;;
Gliddery;;
Rule Britannia;;
Hush;;
Says;;
Doctor Scommons;;
Evil;;
Miss Hexam;;
Whereupon;;
Tantivy;;
Betty;;
Mrs Rokesmith;yellow;rich
Tootle;;
Maiden Lane;;
Dressmaker;;
Kibble;;
Unless;;
Ladies;;
Fox;;
Aladdin;;
Verily;;
Poddles;;
Total;;
Georgeute;;
Whom Lady Tippins;;
Which Lord;;
Mrs Eugene Wrayburn;;
Catch;;
Malley;;
Round;;
Hopes Ma;;
Time;;
Patronized;;
Pretty Pretty;;
Wasn;;
Mullins;;
Sawyers;;
Regret;;
College;;
Warn;;
Shares;;
Venus;;
Mrs Lammle;;
Ritch;;
T;;
Miss Podsnap;;
Carried;;
Agreed;;
Robert Baldwin;yellow;rich
Reflects Eugene;;
Caulfield;;
Elsewise;;
Jemmy Taylor;;
Pills;;
Strange;;
St Paul;;
Cosy;;
Seems;;
Animate London;;
Whose Perch;;
Portman Square;;
Miss Potterson;yellow;rich
Poor;;
Driver;;
Lady Tippins;;
Sir Thomas Tippins;yellow;rich
Tom Noakes;;
Miss Pleasant;;
Paul;;
Betty Higden;;
Headstone;;
Stranded;;
Frank;;
Dog;;
Jemmy Wood;;
Inspector;;
Church Street;;
Lord Mayor Walworth;yellow;rich
Sit;;
Splendid;;
Bella;;
Eugene;;
Glum;;
Miss Euphemia Tapkins;yellow;rich
Boffins;;
Fair Rosamond;;
False;;
Geor;;
Ahem;;
None;;
Slow;;
Dusty Boffin;;
Dear Mr Fledgeby;;
Best;;
Fanny Cleaver;yellow;rich
Wren;;
Miss;;
Higden;;
Whispered Venus;;
People;;
Term;;
Charley Hexam;yellow;rich
Fleet Street;;
James;;
Blewberry;;
Eugene Gaffer Harmon;;
Young Fledgeby;;
Lady Belinda;;
Merryweather;;
Melvin Twemlow;;
Poor Lavinia;;
Thomas Twopence;;
David;;
Serious;;
Sweet Home;;
Thomson;;
Plain Vanilla;;
Partner;;
Baby;;
Anyhow;;
Mound;;
Dear John;;
Horse;;
Nick;;
Bravo;;
Which Mrs Milvey;;
Steady;;
Kirby;;
Her Gracious Majesty;;
Cats;;
My Benefactor;;
Lie;;
Cassim Baba;;
Edward;;
Johnson;;
Bower;;
Behold Bella;;
